1521AV,25,,Soendastraat,Wormerveer
1501RN,15,,Burgemeester Smitstraat,Zaandam
1501RN,19,,Burgemeester Smitstraat,Zaandam
1501RN,17,,Burgemeester Smitstraat,Zaandam
1501RL,4,,A.G. Verbeekstraat,Zaandam
1521AW,24,,Soendastraat,Wormerveer
1521AV,23,,Soendastraat,Wormerveer
1521AW,22,,Soendastraat,Wormerveer
1521AV,21,,Soendastraat,Wormerveer
1521AV,9,,Soendastraat,Wormerveer
1551PL,129,,Veldweg,Westzaan
1521AW,18,,Soendastraat,Wormerveer
1521AW,16,,Soendastraat,Wormerveer
1501RL,2,,A.G. Verbeekstraat,Zaandam
1521AW,14,,Soendastraat,Wormerveer
1521AV,13,,Soendastraat,Wormerveer
1521AW,12,,Soendastraat,Wormerveer
1521AV,11,,Soendastraat,Wormerveer
1521AW,10,,Soendastraat,Wormerveer
1521AV,19,,Soendastraat,Wormerveer
1521AV,1,,Soendastraat,Wormerveer
1521AW,2,,Soendastraat,Wormerveer
1521HL,90,,Krommenieërweg,Wormerveer
1551PL,145,,Veldweg,Westzaan
1551PL,123,,Veldweg,Westzaan
1551PL,139,,Veldweg,Westzaan
1567GL,119,,H.P. Berlagestraat,Assendelft
1521BC,40,,Insulindelaan,Wormerveer
1521AD,113,,Wandelweg,Wormerveer
1521TH,3,,Edisonstraat,Wormerveer
1521TH,1,,Edisonstraat,Wormerveer
1521TD,32,,Franklinstraat,Wormerveer
1521TD,30,,Franklinstraat,Wormerveer
1521TH,15,,Edisonstraat,Wormerveer
1521BS,67,,Celebesstraat,Wormerveer
1551EC,99,,Zuideinde,Westzaan
1521DN,92,,Zaanweg,Wormerveer
1551AE,38,BO,Kerkbuurt,Westzaan
1521TD,28,,Franklinstraat,Wormerveer
1567GK,61,,H.P. Berlagestraat,Assendelft
1567GK,63,,H.P. Berlagestraat,Assendelft
1521TH,13,,Edisonstraat,Wormerveer
1521TH,11,,Edisonstraat,Wormerveer
1521AN,44,,Vestaplein,Wormerveer
1521AN,45,,Vestaplein,Wormerveer
1501ZR,64,,Jan Hendrik op den Veldestraat,Zaandam
1562KC,10,,Zonnebaars,Krommenie
1562KC,11,,Zonnebaars,Krommenie
1562KC,9,,Zonnebaars,Krommenie
1501ZR,58,,Jan Hendrik op den Veldestraat,Zaandam
1501ZN,67,,Jan Hendrik op den Veldestraat,Zaandam
1501ZR,66,,Jan Hendrik op den Veldestraat,Zaandam
1501ZR,70,,Jan Hendrik op den Veldestraat,Zaandam
1501ZN,71,,Jan Hendrik op den Veldestraat,Zaandam
1501ZR,72,,Jan Hendrik op den Veldestraat,Zaandam
1501ZR,40,,Jan Hendrik op den Veldestraat,Zaandam
1521AN,51,,Vestaplein,Wormerveer
1521AN,36,,Vestaplein,Wormerveer
1521AN,61,,Vestaplein,Wormerveer
1521AN,72,,Vestaplein,Wormerveer
1521AN,71,,Vestaplein,Wormerveer
1521TK,6,,Ohmstraat,Wormerveer
1521BR,35,,Celebesstraat,Wormerveer
1521TK,7,,Ohmstraat,Wormerveer
1521AN,70,,Vestaplein,Wormerveer
1521AN,68,,Vestaplein,Wormerveer
1521AN,66,,Vestaplein,Wormerveer
1521AN,65,,Vestaplein,Wormerveer
1501ZN,75,,Jan Hendrik op den Veldestraat,Zaandam
1501ZN,77,,Jan Hendrik op den Veldestraat,Zaandam
1521AN,64,,Vestaplein,Wormerveer
1521AN,48,,Vestaplein,Wormerveer
1521AN,62,,Vestaplein,Wormerveer
1521AN,73,,Vestaplein,Wormerveer
1521AN,60,,Vestaplein,Wormerveer
1521AN,59,,Vestaplein,Wormerveer
1521AN,58,,Vestaplein,Wormerveer
1562KC,13,,Zonnebaars,Krommenie
1521AN,57,,Vestaplein,Wormerveer
1521AN,56,,Vestaplein,Wormerveer
1521AN,54,,Vestaplein,Wormerveer
1501ZN,65,,Jan Hendrik op den Veldestraat,Zaandam
1501ZN,47,,Jan Hendrik op den Veldestraat,Zaandam
1501ZR,68,,Jan Hendrik op den Veldestraat,Zaandam
