8256JC,5,,Slangenburg,Biddinghuizen
8256JC,7,,Slangenburg,Biddinghuizen
8256JC,9,,Slangenburg,Biddinghuizen
8256JC,11,,Slangenburg,Biddinghuizen
8256JH,17,,Hemsink,Biddinghuizen
8256JH,19,,Hemsink,Biddinghuizen
8256JH,21,,Hemsink,Biddinghuizen
8256JH,23,,Hemsink,Biddinghuizen
8256JH,25,,Hemsink,Biddinghuizen
8256JH,27,,Hemsink,Biddinghuizen
8253LB,67,,Baksteen,Dronten
8255KN,127,,Bloemenzoom,Swifterbant
8253KM,17,,Sint Nicolaasgilde,Dronten
8253KM,13,,Sint Nicolaasgilde,Dronten
8253LB,69,,Baksteen,Dronten
8253LC,16,,Troffel,Dronten
8253LC,18,,Troffel,Dronten
8253LC,20,,Troffel,Dronten
8253LC,22,,Troffel,Dronten
8253LC,24,,Troffel,Dronten
8253LC,26,,Troffel,Dronten
8253LC,28,,Troffel,Dronten
8251PS,22,,Roggebotweg,Dronten
8251CS,55,,De Oost,Dronten
8253KM,1,,Sint Nicolaasgilde,Dronten
8253KM,6,,Sint Nicolaasgilde,Dronten
8253KN,1,,Aambeeld,Dronten
8253LW,1,,Aambeeld,Dronten
8253KN,3,,Aambeeld,Dronten
8253LW,3,,Aambeeld,Dronten
8253KN,5,,Aambeeld,Dronten
8253LW,5,,Aambeeld,Dronten
8253KN,7,,Aambeeld,Dronten
8253LW,7,,Aambeeld,Dronten
8253KN,9,,Aambeeld,Dronten
