8,2984AX,Pottenbakkerstraat,Ridderkerk
10,2984AX,Pottenbakkerstraat,Ridderkerk
10,2984AZ,Valkenierstraat,Ridderkerk
8,2984AZ,Valkenierstraat,Ridderkerk
25,2982CH,Eikendreef,Ridderkerk
82,2982CV,Prunuslaan,Ridderkerk
631,2987SZ,Rijnsingel,Ridderkerk
597,2987SX,Rijnsingel,Ridderkerk
633,2987SZ,Rijnsingel,Ridderkerk
413,2987SR,Rijnsingel,Ridderkerk
6,2983HK,Juliana van Stolbergstraat,Ridderkerk
214,2983GN,Ringdijk,Ridderkerk
223,2986VP,Koolmees,Ridderkerk
11,2986VA,Koolmees,Ridderkerk
9,2986VA,Koolmees,Ridderkerk
221,2986VP,Koolmees,Ridderkerk
220,2986EN,Rosmolen,Ridderkerk
86,2986GE,Houtzaagmolen,Ridderkerk
97,2986GE,Houtzaagmolen,Ridderkerk
94,2986GE,Houtzaagmolen,Ridderkerk
8,2986EA,Rosmolen,Ridderkerk
6,2986EA,Rosmolen,Ridderkerk
8,2984GD,Stevinstraat,Ridderkerk
13,2984GA,Boerhaavestraat,Ridderkerk
16,2984GA,Boerhaavestraat,Ridderkerk
201,2983GC,Benedenrijweg,Ridderkerk
23,2985CC,Couperusstraat,Ridderkerk
31,2985CR,Van Eedenstraat,Ridderkerk
26,2985CD,Couperusstraat,Ridderkerk
17,2985CC,Couperusstraat,Ridderkerk
46,2985CS,Van Eedenstraat,Ridderkerk
44,2985CS,Van Eedenstraat,Ridderkerk
80,2985SX,Kloosplantsoen,Ridderkerk
25,2985CH,Heijermansstraat,Ridderkerk
23,2985CH,Heijermansstraat,Ridderkerk
14,2981BE,Bloemenstraat,Ridderkerk
18,2981BE,Bloemenstraat,Ridderkerk
28,2981BE,Bloemenstraat,Ridderkerk
36,2981BL,Fresiastraat,Ridderkerk
15,2981BD,Bloemenstraat,Ridderkerk
11,2981BD,Bloemenstraat,Ridderkerk
12,2987ED,Haringvliethof,Ridderkerk
10,2987ED,Haringvliethof,Ridderkerk
12,2987EL,Scheldeplein,Ridderkerk
18,2987EL,Scheldeplein,Ridderkerk
17,2987EG,Krammerhof,Ridderkerk
5,2987EM,Volkerakhof,Ridderkerk
9,2987EM,Volkerakhof,Ridderkerk
8,2987EM,Volkerakhof,Ridderkerk
11,2987EM,Volkerakhof,Ridderkerk
15,2987EM,Volkerakhof,Ridderkerk
75,2985CH,Heijermansstraat,Ridderkerk
9,2985CP,Perkstraat,Ridderkerk
