2628TA,129,,Frederik Hendrikstraat,Delft
2628TZ,1,,Frisoplein,Delft
2628TZ,3,,Frisoplein,Delft
2628TZ,5,,Frisoplein,Delft
2628TZ,7,,Frisoplein,Delft
2628TZ,9,,Frisoplein,Delft
2628TZ,11,,Frisoplein,Delft
2628TZ,13,,Frisoplein,Delft
2628TZ,15,,Frisoplein,Delft
2628TZ,17,,Frisoplein,Delft
2628TZ,19,,Frisoplein,Delft
2628TZ,21,,Frisoplein,Delft
2628TZ,23,,Frisoplein,Delft
2628TZ,25,,Frisoplein,Delft
2628TZ,27,,Frisoplein,Delft
2628TZ,29,,Frisoplein,Delft
2628TZ,31,,Frisoplein,Delft
2628VA,2,,Frisoplein,Delft
2628VA,4,,Frisoplein,Delft
2628VA,6,,Frisoplein,Delft
2628VA,8,,Frisoplein,Delft
2628VA,10,,Frisoplein,Delft
2628VA,12,,Frisoplein,Delft
2628VA,14,,Frisoplein,Delft
2628VA,16,,Frisoplein,Delft
2628VA,18,,Frisoplein,Delft
2628VA,20,,Frisoplein,Delft
2628VA,22,,Frisoplein,Delft
2628VA,24,,Frisoplein,Delft
2628VA,26,,Frisoplein,Delft
2628VA,28,,Frisoplein,Delft
2628VA,30,,Frisoplein,Delft
2628GH,8,,Nassaulaan,Delft
2628GH,10,,Nassaulaan,Delft
2628GH,12,,Nassaulaan,Delft
2628GH,14,,Nassaulaan,Delft
2628GH,16,,Nassaulaan,Delft
2628SW,90,,Prins Mauritsstraat,Delft
2628SW,92,,Prins Mauritsstraat,Delft
2628SW,94,,Prins Mauritsstraat,Delft
2628SW,96,,Prins Mauritsstraat,Delft
2628SW,98,,Prins Mauritsstraat,Delft
2628SW,100,,Prins Mauritsstraat,Delft
2628SW,102,,Prins Mauritsstraat,Delft
2628SW,104,,Prins Mauritsstraat,Delft
2628SW,106,,Prins Mauritsstraat,Delft
2628SW,108,,Prins Mauritsstraat,Delft
2628SW,110,,Prins Mauritsstraat,Delft
2628SW,112,,Prins Mauritsstraat,Delft
2628SW,114,,Prins Mauritsstraat,Delft
2628SW,116,,Prins Mauritsstraat,Delft
2628SW,118,,Prins Mauritsstraat,Delft
2628SW,120,,Prins Mauritsstraat,Delft
2628SW,122,,Prins Mauritsstraat,Delft
2628TC,74,,Frederik Hendrikstraat,Delft
2628TC,76,,Frederik Hendrikstraat,Delft
2628TC,72,,Frederik Hendrikstraat,Delft
2628TC,78,,Frederik Hendrikstraat,Delft
2628GJ,22,,Nassaulaan,Delft
2628GJ,24,,Nassaulaan,Delft
2628GJ,26,,Nassaulaan,Delft
2628GJ,28,,Nassaulaan,Delft
2628GJ,30,,Nassaulaan,Delft
2628GJ,32,,Nassaulaan,Delft
2628GJ,20,,Nassaulaan,Delft
2628GJ,34,,Nassaulaan,Delft
2628TM,7,,Jan Willem Frisostraat,Delft
2628TM,9,,Jan Willem Frisostraat,Delft
2628TM,11,,Jan Willem Frisostraat,Delft
2628TM,27,,Jan Willem Frisostraat,Delft
2628TM,13,,Jan Willem Frisostraat,Delft
2628TM,15,,Jan Willem Frisostraat,Delft
2628TM,17,,Jan Willem Frisostraat,Delft
2628TM,19,,Jan Willem Frisostraat,Delft
2628TM,21,,Jan Willem Frisostraat,Delft
2628TM,23,,Jan Willem Frisostraat,Delft
2628TM,25,,Jan Willem Frisostraat,Delft
2628TS,56,,Jan Willem Frisostraat,Delft
2628TS,58,,Jan Willem Frisostraat,Delft
2628VD,1,,Spiekmanstraat,Delft
2628VD,23,,Spiekmanstraat,Delft
2628VD,3,,Spiekmanstraat,Delft
2628VD,21,,Spiekmanstraat,Delft
2628VD,5,,Spiekmanstraat,Delft
2628VD,7,,Spiekmanstraat,Delft
2628VD,9,,Spiekmanstraat,Delft
2628VD,11,,Spiekmanstraat,Delft
2628VD,13,,Spiekmanstraat,Delft
2628VD,15,,Spiekmanstraat,Delft
2628VD,17,,Spiekmanstraat,Delft
2628VD,19,,Spiekmanstraat,Delft
2628VD,25,,Spiekmanstraat,Delft
2628VD,27,,Spiekmanstraat,Delft
2628VC,36,,Wippolderstraat,Delft
2628VC,34,,Wippolderstraat,Delft
2628VB,33,,Wippolderstraat,Delft
2628VB,31,,Wippolderstraat,Delft
2612BD,12,,Ternatestraat,Delft
2612BD,14,,Ternatestraat,Delft
2612BE,22,,Ternatestraat,Delft
2612BE,26,,Ternatestraat,Delft
2612BE,28,,Ternatestraat,Delft
2612BD,16,,Ternatestraat,Delft
2612BD,18,,Ternatestraat,Delft
2612BD,20,,Ternatestraat,Delft
2612BE,24,,Ternatestraat,Delft
2612BE,30,,Ternatestraat,Delft
2612BL,1,,Ambonstraat,Delft
2612BL,3,,Ambonstraat,Delft
2612BL,5,,Ambonstraat,Delft
2612BL,7,,Ambonstraat,Delft
2612BL,9,,Ambonstraat,Delft
2612BL,21,,Ambonstraat,Delft
2612BL,11,,Ambonstraat,Delft
2612BL,13,,Ambonstraat,Delft
2612BL,15,,Ambonstraat,Delft
2612BL,17,,Ambonstraat,Delft
2612BL,19,,Ambonstraat,Delft
2612BL,23,,Ambonstraat,Delft
2612BL,25,,Ambonstraat,Delft
2612BL,27,,Ambonstraat,Delft
2612BL,29,,Ambonstraat,Delft
2628CD,2,,Mekelweg,Delft
2628CD,4,,Mekelweg,Delft
2628BX,9,,Jaffalaan,Delft
2628CJ,1,,Lorentzweg,Delft
2623CR,12,,Motorenweg,Delft
2623NW,1,,Lepelaarstraat,Delft
2623MZ,2,,Kraanvogelstraat,Delft
2623MX,13,,Fuutlaan,Delft
2623CA,2,,Fretstraat,Delft
2623CH,1,,Hazelwormstraat,Delft
2623CB,1,,Dasstraat,Delft
2623CB,5,,Dasstraat,Delft
2623CB,9,,Dasstraat,Delft
2623CC,6,,Dasstraat,Delft
2623CC,8,,Dasstraat,Delft
2623CC,10,,Dasstraat,Delft
2623CC,12,,Dasstraat,Delft
2623CC,2,,Dasstraat,Delft
2623CC,34,,Dasstraat,Delft
2623CC,36,,Dasstraat,Delft
2623EW,3,,Tanthofdreef,Delft
2623EW,25,,Tanthofdreef,Delft
2623EW,27,,Tanthofdreef,Delft
2623AA,2,,Kalfjeslaan,Delft
2623CR,25,,Motorenweg,Delft
2623CR,33,,Motorenweg,Delft
2623CR,31,,Motorenweg,Delft
2628KH,13,,Hendrik Casimirstraat,Delft
2628KH,25,,Hendrik Casimirstraat,Delft
2628KH,37,,Hendrik Casimirstraat,Delft
2628KH,11,,Hendrik Casimirstraat,Delft
2628KH,23,,Hendrik Casimirstraat,Delft
2628KH,35,,Hendrik Casimirstraat,Delft
2628KH,9,,Hendrik Casimirstraat,Delft
2628KH,21,,Hendrik Casimirstraat,Delft
2628KH,33,,Hendrik Casimirstraat,Delft
2622EE,115,,Bikolaan,Delft
2622EA,3,,Angolastraat,Delft
2622EA,1,,Angolastraat,Delft
2612HL,178,,Oostsingel,Delft
2612HL,182,,Oostsingel,Delft
2612HL,183,,Oostsingel,Delft
2612HL,184,,Oostsingel,Delft
2612AK,4,,Celebesstraat,Delft
2612AG,2,,Bankastraat,Delft
2612AG,6,,Bankastraat,Delft
2612AG,8,,Bankastraat,Delft
2612AG,12,,Bankastraat,Delft
2612AG,14,,Bankastraat,Delft
2612AG,18,,Bankastraat,Delft
2612AG,20,,Bankastraat,Delft
2612AG,22,,Bankastraat,Delft
2612AG,24,,Bankastraat,Delft
2612AG,28,,Bankastraat,Delft
2612AH,30,,Bankastraat,Delft
2612AH,34,,Bankastraat,Delft
2612AH,36,,Bankastraat,Delft
2612AH,38,,Bankastraat,Delft
2612AH,40,,Bankastraat,Delft
2612AH,44,,Bankastraat,Delft
2612AH,46,,Bankastraat,Delft
2612AH,50,,Bankastraat,Delft
2612AH,52,,Bankastraat,Delft
