8383EG,14,n39,Hoofdweg,Nijensleek
5844AE,22,,Cerespark,Stevensbeek
5844AE,23,,Cerespark,Stevensbeek
5844AE,24,,Cerespark,Stevensbeek
5844AE,25,,Cerespark,Stevensbeek
5844AE,26,,Cerespark,Stevensbeek
5844AD,2,,Ceresstraat,Stevensbeek
5844AC,7,,Ceresstraat,Stevensbeek
5844AC,9,,Ceresstraat,Stevensbeek
5844AC,11,,Ceresstraat,Stevensbeek
5844AD,12,,Ceresstraat,Stevensbeek
5844AC,13,,Ceresstraat,Stevensbeek
5844AD,14,,Ceresstraat,Stevensbeek
5844AC,15,,Ceresstraat,Stevensbeek
5844AD,16,,Ceresstraat,Stevensbeek
5844AC,17,,Ceresstraat,Stevensbeek
5844AD,18,,Ceresstraat,Stevensbeek
5844AC,19,,Ceresstraat,Stevensbeek
5844AD,20,,Ceresstraat,Stevensbeek
5844AC,21,,Ceresstraat,Stevensbeek
5844AD,22,,Ceresstraat,Stevensbeek
5844AC,23,,Ceresstraat,Stevensbeek
5844AC,25,,Ceresstraat,Stevensbeek
5844AD,26,,Ceresstraat,Stevensbeek
5844AC,27,,Ceresstraat,Stevensbeek
5844AD,28,,Ceresstraat,Stevensbeek
5844AC,29,,Ceresstraat,Stevensbeek
5844AD,30,,Ceresstraat,Stevensbeek
5844AC,31,,Ceresstraat,Stevensbeek
5845GG,2,,De Werf,Sint Anthonis
5845GG,3,,De Werf,Sint Anthonis
5845GG,4,,De Werf,Sint Anthonis
5845GG,5,,De Werf,Sint Anthonis
5845GG,6,,De Werf,Sint Anthonis
5845GG,7,,De Werf,Sint Anthonis
5845CV,1,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,2,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,3,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,4,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,5,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,6,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,7,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,8,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,9,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,10,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,12,,Deken Kerssemakersstraat,Sint Anthonis
5845CV,14,,Deken Kerssemakersstraat,Sint Anthonis
5845AH,1,,Deken Molmansstraat,Sint Anthonis
5845AH,3,,Deken Molmansstraat,Sint Anthonis
5845AH,5,,Deken Molmansstraat,Sint Anthonis
5845AH,7,,Deken Molmansstraat,Sint Anthonis
5845AH,9,,Deken Molmansstraat,Sint Anthonis
5845AH,11,,Deken Molmansstraat,Sint Anthonis
5845AH,13,,Deken Molmansstraat,Sint Anthonis
5845AH,15,,Deken Molmansstraat,Sint Anthonis
5845AH,17,,Deken Molmansstraat,Sint Anthonis
5845AH,19,,Deken Molmansstraat,Sint Anthonis
5845AH,21,,Deken Molmansstraat,Sint Anthonis
5845AH,23,,Deken Molmansstraat,Sint Anthonis
5845AH,25,,Deken Molmansstraat,Sint Anthonis
5845AH,27,,Deken Molmansstraat,Sint Anthonis
5845AH,29,,Deken Molmansstraat,Sint Anthonis
5845AH,31,,Deken Molmansstraat,Sint Anthonis
5845AH,33,,Deken Molmansstraat,Sint Anthonis
5845HT,5,,De Klef,Sint Anthonis
5845HT,6,,De Klef,Sint Anthonis
5845BZ,1,,De kleine Dijk,Sint Anthonis
5845BZ,2,,De kleine Dijk,Sint Anthonis
5845BZ,4,,De kleine Dijk,Sint Anthonis
5845BZ,6,,De kleine Dijk,Sint Anthonis
5845BZ,8,,De kleine Dijk,Sint Anthonis
5845BZ,10,,De kleine Dijk,Sint Anthonis
5845BZ,12,,De kleine Dijk,Sint Anthonis
5845BZ,18,,De kleine Dijk,Sint Anthonis
5845BZ,20,,De kleine Dijk,Sint Anthonis
5845BZ,22,,De kleine Dijk,Sint Anthonis
5845BZ,24,,De kleine Dijk,Sint Anthonis
5845BZ,26,,De kleine Dijk,Sint Anthonis
5446BA,1,,De Knappert,Wanroij
5446BA,2,,De Knappert,Wanroij
5446BA,3,,De Knappert,Wanroij
5446BA,4,,De Knappert,Wanroij
5446BA,5,,De Knappert,Wanroij
5446BA,6,,De Knappert,Wanroij
5446BA,8,,De Knappert,Wanroij
5446BA,10,,De Knappert,Wanroij
5446BA,12,,De Knappert,Wanroij
5446BA,14,,De Knappert,Wanroij
5446BA,16,,De Knappert,Wanroij
5845GZ,1,,De lange Loop,Sint Anthonis
5845GZ,3,,De lange Loop,Sint Anthonis
5845GZ,5,,De lange Loop,Sint Anthonis
5845GZ,6,,De lange Loop,Sint Anthonis
5845GZ,7,,De lange Loop,Sint Anthonis
5845GZ,8,,De lange Loop,Sint Anthonis
5845GZ,9,,De lange Loop,Sint Anthonis
5845GZ,10,,De lange Loop,Sint Anthonis
5845GZ,11,,De lange Loop,Sint Anthonis
5845GZ,12,,De lange Loop,Sint Anthonis
5845GZ,13,,De lange Loop,Sint Anthonis
5845GZ,14,,De lange Loop,Sint Anthonis
5845GZ,15,,De lange Loop,Sint Anthonis
5845GZ,16,,De lange Loop,Sint Anthonis
5845GZ,17,,De lange Loop,Sint Anthonis
5845GZ,18,,De lange Loop,Sint Anthonis
5845GZ,19,,De lange Loop,Sint Anthonis
5845GZ,20,,De lange Loop,Sint Anthonis
5845GZ,21,,De lange Loop,Sint Anthonis
5845GZ,22,,De lange Loop,Sint Anthonis
5845GZ,23,,De lange Loop,Sint Anthonis
5845GZ,24,,De lange Loop,Sint Anthonis
5845GZ,25,,De lange Loop,Sint Anthonis
5845GZ,26,,De lange Loop,Sint Anthonis
5845GZ,27,,De lange Loop,Sint Anthonis
5845GZ,28,,De lange Loop,Sint Anthonis
5845GZ,29,,De lange Loop,Sint Anthonis
5845GZ,30,,De lange Loop,Sint Anthonis
5845GZ,31,,De lange Loop,Sint Anthonis
5845GZ,32,,De lange Loop,Sint Anthonis
5845GZ,33,,De lange Loop,Sint Anthonis
5845GZ,34,,De lange Loop,Sint Anthonis
5845GZ,35,,De lange Loop,Sint Anthonis
5845GZ,36,,De lange Loop,Sint Anthonis
5845GZ,37,,De lange Loop,Sint Anthonis
5845GZ,38,,De lange Loop,Sint Anthonis
5845GZ,39,,De lange Loop,Sint Anthonis
5845GZ,41,,De lange Loop,Sint Anthonis
5845GZ,43,,De lange Loop,Sint Anthonis
5845GZ,45,,De lange Loop,Sint Anthonis
5845GZ,47,,De lange Loop,Sint Anthonis
5845GZ,49,,De lange Loop,Sint Anthonis
5845DA,1,,De Merret,Sint Anthonis
5845DA,2,,De Merret,Sint Anthonis
5845DA,3,,De Merret,Sint Anthonis
5845DA,4,,De Merret,Sint Anthonis
5845DA,5,,De Merret,Sint Anthonis
5845DA,6,,De Merret,Sint Anthonis
5845DA,7,,De Merret,Sint Anthonis
5845DA,8,,De Merret,Sint Anthonis
5845DA,9,,De Merret,Sint Anthonis
5845DA,10,,De Merret,Sint Anthonis
5845DA,11,,De Merret,Sint Anthonis
5845DA,12,,De Merret,Sint Anthonis
5845DA,15,,De Merret,Sint Anthonis
5845DA,17,,De Merret,Sint Anthonis
5446WE,1,,De Peppels,Wanroij
5446WG,2,,De Peppels,Wanroij
5446WE,3,,De Peppels,Wanroij
5446WG,4,,De Peppels,Wanroij
5446WE,5,,De Peppels,Wanroij
5446WG,6,,De Peppels,Wanroij
5446WE,7,,De Peppels,Wanroij
5446WG,8,,De Peppels,Wanroij
5446WE,9,,De Peppels,Wanroij
5446WG,10,,De Peppels,Wanroij
5446WE,11,,De Peppels,Wanroij
5446WG,12,,De Peppels,Wanroij
5446WE,13,,De Peppels,Wanroij
5446WE,15,,De Peppels,Wanroij
5446WG,16,,De Peppels,Wanroij
5446WE,17,,De Peppels,Wanroij
5446WG,18,,De Peppels,Wanroij
5446WE,19,,De Peppels,Wanroij
5446WG,20,,De Peppels,Wanroij
5446WE,21,,De Peppels,Wanroij
5446WG,22,,De Peppels,Wanroij
5446WE,23,,De Peppels,Wanroij
5446WG,24,,De Peppels,Wanroij
5446WE,25,,De Peppels,Wanroij
5446WG,26,,De Peppels,Wanroij
5446WE,27,,De Peppels,Wanroij
5446WG,28,,De Peppels,Wanroij
5446WE,29,,De Peppels,Wanroij
5446WG,30,,De Peppels,Wanroij
5446WG,32,,De Peppels,Wanroij
5446WE,33,,De Peppels,Wanroij
5446WG,34,,De Peppels,Wanroij
5446WE,35,,De Peppels,Wanroij
5446WG,36,,De Peppels,Wanroij
5446WG,38,,De Peppels,Wanroij
5446WG,40,,De Peppels,Wanroij
5446WG,42,,De Peppels,Wanroij
5846AR,1,,De Quayweg,Ledeacker
5846AR,2,,De Quayweg,Ledeacker
5846AR,3,,De Quayweg,Ledeacker
5846AR,4,,De Quayweg,Ledeacker
5445NR,4,,De Quayweg,Landhorst
5846AR,5,,De Quayweg,Ledeacker
5445NR,6,,De Quayweg,Landhorst
5445NP,7,,De Quayweg,Landhorst
5445NR,8,,De Quayweg,Landhorst
5445NP,9,,De Quayweg,Landhorst
5445NR,10,,De Quayweg,Landhorst
5445NP,11,,De Quayweg,Landhorst
5445PD,12,,De Quayweg,Landhorst
5445NP,13,,De Quayweg,Landhorst
5445NP,15,,De Quayweg,Landhorst
5445NP,17,,De Quayweg,Landhorst
5445NP,19,,De Quayweg,Landhorst
5445NP,23,,De Quayweg,Landhorst
5445NP,25,,De Quayweg,Landhorst
5445NP,31,,De Quayweg,Landhorst
5445NP,33,,De Quayweg,Landhorst
5445NP,35,,De Quayweg,Landhorst
5445NP,37,,De Quayweg,Landhorst
5445NP,39,,De Quayweg,Landhorst
5445NP,41,,De Quayweg,Landhorst
5445NP,43,,De Quayweg,Landhorst
5445NP,45,,De Quayweg,Landhorst
5445NP,47,,De Quayweg,Landhorst
5445NP,49,,De Quayweg,Landhorst
5445NP,51,,De Quayweg,Landhorst
5445NP,53,,De Quayweg,Landhorst
5445NP,55,,De Quayweg,Landhorst
5445NP,57,,De Quayweg,Landhorst
5446WK,1,,De Roting,Wanroij
5446WK,3,,De Roting,Wanroij
5446WK,5,,De Roting,Wanroij
5446WK,7,,De Roting,Wanroij
5446WK,9,,De Roting,Wanroij
5446WK,11,,De Roting,Wanroij
5446WK,13,,De Roting,Wanroij
5446WK,15,,De Roting,Wanroij
5845GD,1,,De Staat,Sint Anthonis
5845GD,3,,De Staat,Sint Anthonis
5845GD,5,,De Staat,Sint Anthonis
5845GD,6,,De Staat,Sint Anthonis
5845GD,7,,De Staat,Sint Anthonis
5845GD,8,,De Staat,Sint Anthonis
5845GD,9,,De Staat,Sint Anthonis
5845GD,10,,De Staat,Sint Anthonis
5845GD,11,,De Staat,Sint Anthonis
5845GD,12,,De Staat,Sint Anthonis
5845GD,13,,De Staat,Sint Anthonis
5845GD,15,,De Staat,Sint Anthonis
5845GD,17,,De Staat,Sint Anthonis
5845GD,19,,De Staat,Sint Anthonis
5845GD,21,,De Staat,Sint Anthonis
5845GD,23,,De Staat,Sint Anthonis
5845GD,25,,De Staat,Sint Anthonis
5845GD,27,,De Staat,Sint Anthonis
5845GD,29,,De Staat,Sint Anthonis
5845GD,31,,De Staat,Sint Anthonis
5845GD,33,,De Staat,Sint Anthonis
5845GD,35,,De Staat,Sint Anthonis
5845GD,37,,De Staat,Sint Anthonis
5845GD,39,,De Staat,Sint Anthonis
5845GD,41,,De Staat,Sint Anthonis
5845GD,43,,De Staat,Sint Anthonis
5845DB,1,,De Taverne,Sint Anthonis
5845DB,2,,De Taverne,Sint Anthonis
5845DB,3,,De Taverne,Sint Anthonis
5845DB,4,,De Taverne,Sint Anthonis
5845DB,6,,De Taverne,Sint Anthonis
5845DB,8,,De Taverne,Sint Anthonis
5845DB,10,,De Taverne,Sint Anthonis
5845DB,12,,De Taverne,Sint Anthonis
5845DB,14,,De Taverne,Sint Anthonis
5845DB,16,,De Taverne,Sint Anthonis
5845DB,18,,De Taverne,Sint Anthonis
5845DB,20,,De Taverne,Sint Anthonis
5845DB,22,,De Taverne,Sint Anthonis
5845DB,24,,De Taverne,Sint Anthonis
5845DB,26,,De Taverne,Sint Anthonis
5845DB,28,,De Taverne,Sint Anthonis
5845DB,30,,De Taverne,Sint Anthonis
5845DB,32,,De Taverne,Sint Anthonis
5446XD,2,,De Vlaskuil,Wanroij
5446XD,6,,De Vlaskuil,Wanroij
5446XD,8,,De Vlaskuil,Wanroij
5446XD,10,,De Vlaskuil,Wanroij
5446XD,12,,De Vlaskuil,Wanroij
5446XD,14,,De Vlaskuil,Wanroij
5845GG,1,,De Werf,Sint Anthonis
5841CJ,12,,Deurneseweg,Oploo
5841CK,13,,Deurneseweg,Oploo
5841CJ,14,,Deurneseweg,Oploo
5841CJ,16,,Deurneseweg,Oploo
5841CK,17,,Deurneseweg,Oploo
5841CJ,18,,Deurneseweg,Oploo
5841CK,19,,Deurneseweg,Oploo
5841CJ,20,,Deurneseweg,Oploo
5841CK,21,,Deurneseweg,Oploo
5841CJ,22,,Deurneseweg,Oploo
5841CK,23,,Deurneseweg,Oploo
5841CJ,24,,Deurneseweg,Oploo
5841CK,25,,Deurneseweg,Oploo
5841CJ,26,,Deurneseweg,Oploo
5841CK,27,,Deurneseweg,Oploo
5841CJ,28,,Deurneseweg,Oploo
5841CK,29,,Deurneseweg,Oploo
5841CJ,30,,Deurneseweg,Oploo
5841CK,31,,Deurneseweg,Oploo
5841CJ,32,,Deurneseweg,Oploo
5841CK,33,,Deurneseweg,Oploo
5841CJ,34,,Deurneseweg,Oploo
5841CK,35,,Deurneseweg,Oploo
5841CJ,36,,Deurneseweg,Oploo
5841CK,37,,Deurneseweg,Oploo
5841CJ,38,,Deurneseweg,Oploo
5841CJ,44,,Deurneseweg,Oploo
5841CK,45,,Deurneseweg,Oploo
5841CJ,46,,Deurneseweg,Oploo
5845CT,1,,Dokter Luijckxstraat,Sint Anthonis
5845CT,2,,Dokter Luijckxstraat,Sint Anthonis
5845CT,3,,Dokter Luijckxstraat,Sint Anthonis
5845CT,4,,Dokter Luijckxstraat,Sint Anthonis
5845CT,5,,Dokter Luijckxstraat,Sint Anthonis
5845CT,6,,Dokter Luijckxstraat,Sint Anthonis
5845CT,7,,Dokter Luijckxstraat,Sint Anthonis
5845CT,8,,Dokter Luijckxstraat,Sint Anthonis
5845CT,9,,Dokter Luijckxstraat,Sint Anthonis
5845CT,10,,Dokter Luijckxstraat,Sint Anthonis
5845CT,11,,Dokter Luijckxstraat,Sint Anthonis
5845CT,12,,Dokter Luijckxstraat,Sint Anthonis
5845CT,14,,Dokter Luijckxstraat,Sint Anthonis
5845CT,16,,Dokter Luijckxstraat,Sint Anthonis
5845CT,18,,Dokter Luijckxstraat,Sint Anthonis
5845CT,20,,Dokter Luijckxstraat,Sint Anthonis
5845CT,22,,Dokter Luijckxstraat,Sint Anthonis
5845CT,24,,Dokter Luijckxstraat,Sint Anthonis
5845CT,26,,Dokter Luijckxstraat,Sint Anthonis
5845CT,28,,Dokter Luijckxstraat,Sint Anthonis
5845CE,1,,Dokter Verbeecklaan,Sint Anthonis
5845CE,2,,Dokter Verbeecklaan,Sint Anthonis
5845CE,3,,Dokter Verbeecklaan,Sint Anthonis
5845CE,6,,Dokter Verbeecklaan,Sint Anthonis
5845CE,8,,Dokter Verbeecklaan,Sint Anthonis
5845CE,9,,Dokter Verbeecklaan,Sint Anthonis
5845CE,10,,Dokter Verbeecklaan,Sint Anthonis
5845CE,11,,Dokter Verbeecklaan,Sint Anthonis
5845CE,12,,Dokter Verbeecklaan,Sint Anthonis
5845CE,13,,Dokter Verbeecklaan,Sint Anthonis
5845CE,14,,Dokter Verbeecklaan,Sint Anthonis
5845CE,15,,Dokter Verbeecklaan,Sint Anthonis
5845CE,16,,Dokter Verbeecklaan,Sint Anthonis
5845CE,17,,Dokter Verbeecklaan,Sint Anthonis
5845CE,19,,Dokter Verbeecklaan,Sint Anthonis
5845CE,20,,Dokter Verbeecklaan,Sint Anthonis
5845CE,21,,Dokter Verbeecklaan,Sint Anthonis
5845CE,22,,Dokter Verbeecklaan,Sint Anthonis
5845CE,23,,Dokter Verbeecklaan,Sint Anthonis
5845CE,24,,Dokter Verbeecklaan,Sint Anthonis
5845CE,40,,Dokter Verbeecklaan,Sint Anthonis
5446AM,1,,Dorpsstraat,Wanroij
5846AB,1,,Dorpsstraat,Ledeacker
5446AN,2,,Dorpsstraat,Wanroij
5846AA,2,,Dorpsstraat,Ledeacker
5846AB,3,,Dorpsstraat,Ledeacker
5446AM,3,,Dorpsstraat,Wanroij
5846AA,4,,Dorpsstraat,Ledeacker
5446AN,4,,Dorpsstraat,Wanroij
5846AB,5,,Dorpsstraat,Ledeacker
5446AM,5,,Dorpsstraat,Wanroij
5846AA,6,,Dorpsstraat,Ledeacker
5446AN,6,,Dorpsstraat,Wanroij
5446AM,7,,Dorpsstraat,Wanroij
5846AB,7,,Dorpsstraat,Ledeacker
5446AN,8,,Dorpsstraat,Wanroij
5846AA,8,,Dorpsstraat,Ledeacker
5446AM,9,,Dorpsstraat,Wanroij
5846AB,9,,Dorpsstraat,Ledeacker
5845AH,35,,Deken Molmansstraat,Sint Anthonis
5841AM,1,,Deken Schmerlingstraat,Oploo
5841AN,2,,Deken Schmerlingstraat,Oploo
5841AN,4,,Deken Schmerlingstraat,Oploo
5841AN,6,,Deken Schmerlingstraat,Oploo
5841AM,7,,Deken Schmerlingstraat,Oploo
5841AN,8,,Deken Schmerlingstraat,Oploo
5841AM,9,,Deken Schmerlingstraat,Oploo
5841AN,10,,Deken Schmerlingstraat,Oploo
5841AM,11,,Deken Schmerlingstraat,Oploo
5841AN,12,,Deken Schmerlingstraat,Oploo
5841AM,13,,Deken Schmerlingstraat,Oploo
5841AN,14,,Deken Schmerlingstraat,Oploo
5841AM,15,,Deken Schmerlingstraat,Oploo
5841AN,16,,Deken Schmerlingstraat,Oploo
5841AM,17,,Deken Schmerlingstraat,Oploo
5841AN,18,,Deken Schmerlingstraat,Oploo
5841AM,19,,Deken Schmerlingstraat,Oploo
5841AN,20,,Deken Schmerlingstraat,Oploo
5841AN,22,,Deken Schmerlingstraat,Oploo
5841AN,24,,Deken Schmerlingstraat,Oploo
5841AN,26,,Deken Schmerlingstraat,Oploo
5841AN,28,,Deken Schmerlingstraat,Oploo
5841AN,30,,Deken Schmerlingstraat,Oploo
5841AN,34,,Deken Schmerlingstraat,Oploo
5841AN,36,,Deken Schmerlingstraat,Oploo
5841AN,38,,Deken Schmerlingstraat,Oploo
5841AN,40,,Deken Schmerlingstraat,Oploo
5845DG,2,,Den Boggerd,Sint Anthonis
5845DG,4,,Den Boggerd,Sint Anthonis
5845DG,6,,Den Boggerd,Sint Anthonis
5845DG,8,,Den Boggerd,Sint Anthonis
5846AT,15,,Den Dries,Ledeacker
5846AT,16,,Den Dries,Ledeacker
5846AT,17,,Den Dries,Ledeacker
5846AT,19,,Den Dries,Ledeacker
5846AT,20,,Den Dries,Ledeacker
