8607EH,5,,Rode Klaver,Sneek
8607EH,1,,Rode Klaver,Sneek
8607EH,3,,Rode Klaver,Sneek
8602VS,68,,Spitaal,Sneek
8607HW,38,,Parelmoervlinder,Sneek
8607HW,37,,Parelmoervlinder,Sneek
8603VW,25,,Vesperstraat,Sneek
8603VT,9,,Monnikstraat,Sneek
8601BW,11,,Gedempte Poortezijlen,Sneek
8603XE,10,,Kloosterhof,Sneek
8607HW,18,,Parelmoervlinder,Sneek
8607HW,17,,Parelmoervlinder,Sneek
8601BP,3,,Oosterdijk,Sneek
8601BP,5,,Oosterdijk,Sneek
8603XC,40,,Parallelweg,Sneek
8603XC,41,,Parallelweg,Sneek
8602VS,64,,Spitaal,Sneek
8601BW,9,,Gedempte Poortezijlen,Sneek
8601BW,7,,Gedempte Poortezijlen,Sneek
8607HW,20,,Parelmoervlinder,Sneek
8607HW,19,,Parelmoervlinder,Sneek
8602DG,4,,Oosterom,Sneek
8607HW,21,,Parelmoervlinder,Sneek
8601AG,19,,Singel,Sneek
8601AG,21,,Singel,Sneek
8601AG,23,,Singel,Sneek
8601AG,5,,Singel,Sneek
8601AG,7,,Singel,Sneek
8602CX,7,,Vliestroom,Sneek
8607EV,31,,Wilgeroosje,Sneek
8602VS,66,,Spitaal,Sneek
8607HW,23,,Parelmoervlinder,Sneek
8607HW,22,,Parelmoervlinder,Sneek
8607HW,39,,Parelmoervlinder,Sneek
8603VN,3,,Priorstraat,Sneek
8607HW,24,,Parelmoervlinder,Sneek
8607HW,35,,Parelmoervlinder,Sneek
8607HW,25,,Parelmoervlinder,Sneek
8607HW,34,,Parelmoervlinder,Sneek
8607HW,26,,Parelmoervlinder,Sneek
8601BD,10,,Suupmarkt,Sneek
8607HW,33,,Parelmoervlinder,Sneek
8602VS,65,,Spitaal,Sneek
8607HW,27,,Parelmoervlinder,Sneek
8601CC,18,,Wijde Burgstraat,Sneek
8607HW,32,,Parelmoervlinder,Sneek
8601BZ,8,,Gedempte Pol,Sneek
8601BZ,10,,Gedempte Pol,Sneek
8607HW,29,,Parelmoervlinder,Sneek
8607HW,28,,Parelmoervlinder,Sneek
8602CK,48,,Breewijd,Sneek
8603XL,8,,Schoolstraat,Sneek
8601AG,31,,Singel,Sneek
8607EH,11,,Rode Klaver,Sneek
8607EV,22,,Wilgeroosje,Sneek
8607EV,23,,Wilgeroosje,Sneek
8607EV,32,,Wilgeroosje,Sneek
8601AG,29,,Singel,Sneek
8603VW,23,,Vesperstraat,Sneek
8602CX,5,,Vliestroom,Sneek
8603VT,3,,Monnikstraat,Sneek
8607AD,22,,Prinsengracht,Sneek
8603XJ,26,,Kloosterstraat,Sneek
8601AL,72,,Singel,Sneek
8607HW,40,,Parelmoervlinder,Sneek
8602CK,35,,Breewijd,Sneek
8601BZ,24,,Gedempte Pol,Sneek
8601AL,68,,Singel,Sneek
8602VP,12,,Spitaal,Sneek
8603VT,15,,Monnikstraat,Sneek
8603XD,3,,Kloosterhof,Sneek
8601AW,8,,Grootzand,Sneek
8602VS,72,,Spitaal,Sneek
8602VS,71,,Spitaal,Sneek
8601AH,47,,Singel,Sneek
8607EH,31,,Rode Klaver,Sneek
8602VS,74,,Spitaal,Sneek
8607EH,9,,Rode Klaver,Sneek
8603XL,10,,Schoolstraat,Sneek
8603XL,12,,Schoolstraat,Sneek
8601AH,49,,Singel,Sneek
8607HW,41,,Parelmoervlinder,Sneek
8607ET,10,,Wilgeroosje,Sneek
8607ET,9,,Wilgeroosje,Sneek
8602VP,11,,Spitaal,Sneek
8603XJ,28,,Kloosterstraat,Sneek
8601AG,25,,Singel,Sneek
8602VS,73,,Spitaal,Sneek
8603XE,12,,Kloosterhof,Sneek
8607EH,7,,Rode Klaver,Sneek
8607EH,13,,Rode Klaver,Sneek
8603AB,15,,Looxmagracht,Sneek
8603AB,14,,Looxmagracht,Sneek
8603XL,14,,Schoolstraat,Sneek
8601AH,53,,Singel,Sneek
8603XD,7,,Kloosterhof,Sneek
8601AP,1,,Lange Pijpsteeg,Sneek
8601AW,20,,Grootzand,Sneek
8607GA,2,,Zilverschoon,Sneek
8602VP,10,,Spitaal,Sneek
8603XJ,30,,Kloosterstraat,Sneek
8603XB,39,,Parallelweg,Sneek
8603XB,38,,Parallelweg,Sneek
8607GA,4,,Zilverschoon,Sneek
8603XD,5,,Kloosterhof,Sneek
8607EH,29,,Rode Klaver,Sneek
