5688SG,12,,de Vang,Oirschot
5688VT,41,,den Bongerd,Oirschot
5688BM,7,,Lindenlaan,Oirschot
5688RD,13,,van Aerlestraat,Oirschot
5688TS,60,,de Korenaar,Oirschot
5688VM,18,,de Schepen,Oirschot
5688PP,30,,Sleebos,Oirschot
5688KC,97,,Spoordonkseweg,Oirschot
5688RH,24,,van Heesterbeeckstraat,Oirschot
5688HX,15,,Boterwijksestraat,Oirschot
5688PK,22,,Nevenakker,Oirschot
5688AJ,16,,Markt,Oirschot
5688PH,4,,Castaert,Oirschot
5688KT,2,,van Petershemstraat,Oirschot
5688EC,35,,Rijkesluisstraat,Oirschot
5688KJ,16,,Kampsesteeg,Oirschot
5688TE,3,,Hopmanstraat,Oirschot
5688BA,19,,St Odulphusstraat,Oirschot
5688AE,5,,Vrijthof,Oirschot
5688SE,17,,het Bovenwiel,Oirschot
5688EG,12,,Pochelarij,Oirschot
5688BM,20,,Lindenlaan,Oirschot
5688AG,37,,Koestraat,Oirschot
5688VA,5,,de korte Spruit,Oirschot
5688NC,6,,Schansstraat,Oirschot
5688JB,3,,Mousten,Oirschot
5688VT,31,,den Bongerd,Oirschot
5688TD,2,,Lieve-Vrouwestraat,Oirschot
5688TA,26,,Dr Feijstraat,Oirschot
5688TX,5,,de Kruibok,Oirschot
5688PW,6,,Reeck,Oirschot
5688RE,20,,van Aerlestraat,Oirschot
5688LK,12,,Nieuwedijk,Oirschot
5688PJ,51,,Castaert,Oirschot
5688CD,5,,Boomhouwer,Oirschot
5688BD,25,,Nieuwstraat,Oirschot
5688VL,12,,de Baljuw,Oirschot
5688SG,8,,de Vang,Oirschot
5688TA,34,,Dr Feijstraat,Oirschot
5688TX,12,,de Kruibok,Oirschot
5688GN,34,,Eindhovensedijk,Oirschot
5688GC,2,,Drieterskuil,Oirschot
5688KD,16,,Spoordonkseweg,Oirschot
5688CL,34,,Michiel de Ruyterlaan,Oirschot
5688JR,6,,ten Bergh,Oirschot
5688AT,31,,Agnes van Kleefstraat,Oirschot
5688AG,5,,Koestraat,Oirschot
5688GP,3,,Bloemendaal,Oirschot
5688GN,32,,Eindhovensedijk,Oirschot
5688VT,39,,den Bongerd,Oirschot
5688BV,21,,Helpad,Oirschot
5688KB,1,,Spoordonkseweg,Oirschot
5688PJ,7,,Castaert,Oirschot
5688PG,50,,Castaert,Oirschot
5688TW,11,,de Zwaarden,Oirschot
5688RL,12,,het Veld,Oirschot
5688NR,2,,Moleneind,Oirschot
5688JE,2,,Hekdam,Oirschot
5688KM,25,,Sweerts de Landasstraat,Oirschot
5688SN,2,,de Beempd,Oirschot
5688KC,3,,Eendenpoel,Oirschot
5688DX,23,,van Beeckstraat,Oirschot
