4142ED,8,,Glashof,Leerdam
4143BD,13,,Drossaardslaan,Leerdam
4143BD,19,,Drossaardslaan,Leerdam
4143BD,26,,Drossaardslaan,Leerdam
4143BD,33,,Drossaardslaan,Leerdam
4143BD,39,,Drossaardslaan,Leerdam
4143BD,45,,Drossaardslaan,Leerdam
4142CP,1,,Eikstraat,Leerdam
4142CR,6,,Eikstraat,Leerdam
4142CR,12,,Eikstraat,Leerdam
4142CP,19,,Eikstraat,Leerdam
4142CR,28,,Eikstraat,Leerdam
4142BC,13,,Floris Radewijnszstraat,Leerdam
4142BC,21,,Floris Radewijnszstraat,Leerdam
4143HS,30,,Gildenstraat,Leerdam
4143CR,1,,Akkerwindelaan,Leerdam
4142BD,34,,Floris Radewijnszstraat,Leerdam
4142BD,40,,Floris Radewijnszstraat,Leerdam
4142BB,38,,Folpert van ter Leedestraat,Leerdam
4142BB,48,,Folpert van ter Leedestraat,Leerdam
4141CE,5,,Fonteinstraat,Leerdam
4141CE,11,,Fonteinstraat,Leerdam
4141CG,20,,Fonteinstraat,Leerdam
4142WK,15,,Esdoornstraat,Leerdam
4142WL,30,,Esdoornstraat,Leerdam
4142WL,35,,Esdoornstraat,Leerdam
4142WL,42,,Esdoornstraat,Leerdam
4143CH,69,,Griend,Leerdam
4142AH,7,,Groen van Prinstererstraat,Leerdam
4142AH,19,,Groen van Prinstererstraat,Leerdam
4141BJ,3,,Groote Steiger,Leerdam
4143BM,13,,Hagahof,Leerdam
4143HT,2,,Handelstraat,Leerdam
4142CW,12,,Iepstraat,Leerdam
4142CW,21,,Iepstraat,Leerdam
4142ZL,3,,Asterstraat,Leerdam
4142ZL,9,,Asterstraat,Leerdam
4142ZM,14,,Asterstraat,Leerdam
4142ZL,21,,Asterstraat,Leerdam
4142ZM,26,,Asterstraat,Leerdam
4142ZT,54,,Azaleastraat,Leerdam
4142ZT,70,,Azaleastraat,Leerdam
4143GT,3,,Banier,Leerdam
4143GT,9,,Banier,Leerdam
4141JR,6,,Baronie,Leerdam
4141BV,32,,Bergstraat,Leerdam
4141BV,38,,Bergstraat,Leerdam
4141BS,43,,Bergstraat,Leerdam
4142ED,41,,Glashof,Leerdam
4141JK,22,,Graaf Adolfstraat,Leerdam
4141JK,34,,Graaf Adolfstraat,Leerdam
4141JT,4,,Graafschap,Leerdam
4141JS,9,,Graafschap,Leerdam
4141JT,16,,Graafschap,Leerdam
4143CG,40,,Griend,Leerdam
4143CG,45,,Griend,Leerdam
4141CX,31,,Jan van Arkelstraat,Leerdam
4142ZX,2,,Jasmijnstraat,Leerdam
4142ZW,7,,Jasmijnstraat,Leerdam
4142CX,45,,Iepstraat,Leerdam
4142CZ,50,,Iepstraat,Leerdam
4142CZ,55,,Iepstraat,Leerdam
4142CZ,64,,Iepstraat,Leerdam
4143AT,3,,IJsvogellaan,Leerdam
4143BX,23,,Boeylaan,Leerdam
4143CK,3,,Bogerd,Leerdam
4143CK,9,,Bogerd,Leerdam
4143CK,14,,Bogerd,Leerdam
4141BW,82,,Bergstraat,Leerdam
4141BW,92,,Bergstraat,Leerdam
4141BZ,106,,Bergstraat,Leerdam
4142CS,1,,Berkstraat,Leerdam
4142CS,7,,Berkstraat,Leerdam
4141DG,22,,Blokhuisstraat,Leerdam
4142XK,5,,Boëtiusstraat,Leerdam
4142XL,10,,Boëtiusstraat,Leerdam
4142XK,17,,Boëtiusstraat,Leerdam
4143BX,7,,Boeylaan,Leerdam
4143BX,12,,Boeylaan,Leerdam
4143CA,4,,Donk,Leerdam
4143CA,10,,Donk,Leerdam
4143CA,16,,Donk,Leerdam
4141EP,1,,C. Schalijstraat,Leerdam
4141EP,7,,C. Schalijstraat,Leerdam
4143GD,62,,Copierlaan,Leerdam
4143GD,68,,Copierlaan,Leerdam
4143GC,73,,Copierlaan,Leerdam
4143GC,79,,Copierlaan,Leerdam
4143GC,85,,Copierlaan,Leerdam
4143GD,94,,Copierlaan,Leerdam
4143GW,7,,De Lormstraat,Leerdam
4143GW,23,,De Lormstraat,Leerdam
4142XD,5,,De Ruijterstraat,Leerdam
4142XG,12,,De Ruijterstraat,Leerdam
4143BZ,21,,Dobbenstraat,Leerdam
4141DB,4,,Dokter Reilinghplein,Leerdam
4141DC,18,,Dokter Reilinghplein,Leerdam
4141DC,28,,Dokter Reilinghplein,Leerdam
4143CD,76,,Donk,Leerdam
4143CD,81,,Donk,Leerdam
4142XE,65,,De Ruijterstraat,Leerdam
4142XE,71,,De Ruijterstraat,Leerdam
4143CM,64,,Bogerd,Leerdam
4141MN,8,,Bohemen,Leerdam
4141MN,18,,Bohemen,Leerdam
4141MP,61,,Bohemen,Leerdam
4143EE,24,,Brunellaan,Leerdam
4143EJ,29,,Brunellaan,Leerdam
4143EE,36,,Brunellaan,Leerdam
4143EJ,43,,Brunellaan,Leerdam
4143EG,50,,Brunellaan,Leerdam
4143EK,57,,Brunellaan,Leerdam
4143BA,22,,Buizerdstraat,Leerdam
4141EH,3,,Burgemeester Meesstraat,Leerdam
4141EJ,8,,Burgemeester Meesstraat,Leerdam
4141EH,15,,Burgemeester Meesstraat,Leerdam
4141EH,21,,Burgemeester Meesstraat,Leerdam
4141EH,27,,Burgemeester Meesstraat,Leerdam
4143ME,26,,Diefdijk,Leerdam
4143MG,32,,Diefdijk,Leerdam
4143BR,31,,Dimmerlaan,Leerdam
4143BT,40,,Dimmerlaan,Leerdam
4143BR,47,,Dimmerlaan,Leerdam
4143BT,62,,Dimmerlaan,Leerdam
4143AX,3,,Dirk Karsstraat,Leerdam
4141CP,12,,Generaal Pironstraat,Leerdam
4141CP,18,,Generaal Pironstraat,Leerdam
4141CP,32,,Generaal Pironstraat,Leerdam
4143LC,17,,Glasblazerstraat,Leerdam
4141CT,13,,J.C. Rijsdijkstraat,Leerdam
4141CT,19,,J.C. Rijsdijkstraat,Leerdam
4141CV,24,,J.C. Rijsdijkstraat,Leerdam
4141CV,34,,J.C. Rijsdijkstraat,Leerdam
4141BB,61,,Hoogstraat,Leerdam
4141BB,69,,Hoogstraat,Leerdam
4141BB,79,,Hoogstraat,Leerdam
4143VN,5,,Hooikamp,Leerdam
4143VN,12,,Hooikamp,Leerdam
4143VN,17,,Hooikamp,Leerdam
4141MA,17,,Horndijk,Leerdam
4141MA,23,,Horndijk,Leerdam
4141MA,57,,Horndijk,Leerdam
4141MZ,52,,Memel,Leerdam
4142ZA,41,,Lingestraat,Leerdam
4142ZD,48,,Lingestraat,Leerdam
4142ZD,54,,Lingestraat,Leerdam
4142ZD,60,,Lingestraat,Leerdam
4142ZB,69,,Lingestraat,Leerdam
4143VH,48,,Lisdoddelaan,Leerdam
4143VH,57,,Lisdoddelaan,Leerdam
4143VH,62,,Lisdoddelaan,Leerdam
4143VH,68,,Lisdoddelaan,Leerdam
4142ZZ,1,,Magnoliastraat,Leerdam
4142ZZ,7,,Magnoliastraat,Leerdam
4142ZZ,13,,Magnoliastraat,Leerdam
4142ZZ,18,,Magnoliastraat,Leerdam
4142ZZ,26,,Magnoliastraat,Leerdam
4141JB,22,,Oud Schaik,Leerdam
4141JA,27,,Oud Schaik,Leerdam
4141JB,34,,Oud Schaik,Leerdam
4141JB,44,,Oud Schaik,Leerdam
4141JB,58,,Oud Schaik,Leerdam
4141BR,68,,Noordwal,Leerdam
4141BM,87,,Noordwal,Leerdam
4141BM,97,,Noordwal,Leerdam
4143JD,2,,Novy Borstraat,Leerdam
4143LA,21,,Parallelweg,Leerdam
4143LB,29,,Parallelweg,Leerdam
4143LB,39,,Parallelweg,Leerdam
4142AN,6,,Thorbeckesingel,Leerdam
4143HA,3,,Parmentierstraat,Leerdam
4141CR,32,,Oranje Nassaulaan,Leerdam
4141CR,38,,Oranje Nassaulaan,Leerdam
4141CS,44,,Oranje Nassaulaan,Leerdam
4141CS,50,,Oranje Nassaulaan,Leerdam
4141CS,56,,Oranje Nassaulaan,Leerdam
4141CR,61,,Oranje Nassaulaan,Leerdam
4141MJ,24,,Narva,Leerdam
4141MH,33,,Narva,Leerdam
4141MH,43,,Narva,Leerdam
4141CD,76,,Nieuwstraat,Leerdam
4141CB,91,,Nieuwstraat,Leerdam
4141CD,100,,Nieuwstraat,Leerdam
4143HL,1,,Plesmanstraat,Leerdam
4141AV,10,,Poorterij,Leerdam
4142EB,2,,Populierstraat,Leerdam
4142EB,8,,Populierstraat,Leerdam
4142EA,19,,Populierstraat,Leerdam
4142BM,22,,P.M. van Gentstraat,Leerdam
4143GB,4,,Palissade,Leerdam
4143GA,15,,Palissade,Leerdam
4143GB,24,,Palissade,Leerdam
4141MK,29,,Riga,Leerdam
4143AA,3,,Roekstraat,Leerdam
4143AA,10,,Roekstraat,Leerdam
4143AA,20,,Roekstraat,Leerdam
4142XZ,4,,Rozenstraat,Leerdam
4143BG,4,,Sarvaasstraat,Leerdam
4143BG,12,,Sarvaasstraat,Leerdam
4141AG,3,,Prins Hendrikstraat,Leerdam
4141AG,15,,Prins Hendrikstraat,Leerdam
4141JC,3,,Prins Mauritsstraat,Leerdam
4142VA,41,,Patrimoniumstraat,Leerdam
