7812TB,67,,Druwerbrink,Emmen
7826DA,87,,Bargerholt,Emmen
7826DB,44,,Bargerholt,Emmen
7812VA,30,,Bruntingerbrink,Emmen
7812VC,106,,Bruntingerbrink,Emmen
7812VC,94,,Bruntingerbrink,Emmen
7812VB,88,,Bruntingerbrink,Emmen
7812VB,92,,Bruntingerbrink,Emmen
7812VB,58,,Bruntingerbrink,Emmen
7814TB,83,,Westenesscherstraat,Emmen
7814TA,58,,Westenesscherstraat,Emmen
7814TB,71,,Westenesscherstraat,Emmen
7814TB,70,,Westenesscherstraat,Emmen
7814TA,68,,Westenesscherstraat,Emmen
7814TG,5,,Oude Schietbaanweg,Emmen
7815LZ,6,,Weerdingerhaag,Emmen
7815LE,89,,Weerdingerhaag,Emmen
7815LE,51,,Weerdingerhaag,Emmen
7815LE,49,,Weerdingerhaag,Emmen
7811GB,3,,Spoorstraat,Emmen
7811GW,3,,Stationsplein,Emmen
7822EJ,35,,Dennenlaan,Emmen
7822EG,42,,Burgemeester Tijmesstraat,Emmen
7824RH,5,,De Strubben,Emmen
7824AD,121,,Angelsloërdijk,Emmen
7824AD,113,,Angelsloërdijk,Emmen
7824AE,147,,Angelsloërdijk,Emmen
7824AE,149,,Angelsloërdijk,Emmen
7824AC,87,,Angelsloërdijk,Emmen
7824AB,65,,Angelsloërdijk,Emmen
7824AD,109,,Angelsloërdijk,Emmen
7824AJ,251,,Angelsloërdijk,Emmen
7811GK,2,,Nassaulaan,Emmen
7811GK,3,,Nassaulaan,Emmen
7811AJ,27,,Derksstraat,Emmen
7811KE,1,,Noordbargerstraat,Emmen
7811KG,1,,Noordbargerstraat,Emmen
7811KG,4,,Noordbargerstraat,Emmen
7812GC,141,,Zuidlaarderbrink,Emmen
7812GC,145,,Zuidlaarderbrink,Emmen
7812RR,328,,Ruinerbrink,Emmen
7812RH,303,,Ruinerbrink,Emmen
7812RS,338,,Ruinerbrink,Emmen
7812RJ,8,,Ruinerbrink,Emmen
7812RS,358,,Ruinerbrink,Emmen
7812RS,360,,Ruinerbrink,Emmen
7812RK,56,,Ruinerbrink,Emmen
7812RJ,38,,Ruinerbrink,Emmen
7822EE,22,,Burgemeester Tijmesstraat,Emmen
7822EE,18,,Burgemeester Tijmesstraat,Emmen
7822EE,17,,Burgemeester Tijmesstraat,Emmen
7822EH,20,,De Molenkamp,Emmen
7824RA,31,,De Woerd,Emmen
7815BC,22,,R. Schuilingstraat,Emmen
7815KZ,137,,Wolfsklauw,Emmen
7815KD,2,,Beentepol,Emmen
7815KX,26,,Beentepol,Emmen
7815KX,32,,Beentepol,Emmen
7815KX,54,,Beentepol,Emmen
7815KX,42,,Beentepol,Emmen
7822JK,8,,Het Meerveld,Emmen
7815PW,6,,Kalmoes,Emmen
7815PW,16,,Kalmoes,Emmen
7815XV,23,,Polenstraat,Emmen
7811CC,221,,Weerdingerstraat,Emmen
7812JV,42,,Oringerbrink,Emmen
7812JR,21,,Oringerbrink,Emmen
7812JR,29,,Oringerbrink,Emmen
7812KB,22,,Spehornerbrink,Emmen
7812RJ,44,,Ruinerbrink,Emmen
7812SB,5,,Balingerbrink,Emmen
7812SH,201,,Balingerbrink,Emmen
7812SG,191,,Balingerbrink,Emmen
7812SG,195,,Balingerbrink,Emmen
7812SN,174,,Balingerbrink,Emmen
7812SN,164,,Balingerbrink,Emmen
7812SN,168,,Balingerbrink,Emmen
7812SC,55,,Balingerbrink,Emmen
7812SB,47,,Balingerbrink,Emmen
7812SC,49,,Balingerbrink,Emmen
7812SC,53,,Balingerbrink,Emmen
7812SL,80,,Balingerbrink,Emmen
7812SB,21,,Balingerbrink,Emmen
7812SM,102,,Balingerbrink,Emmen
7812SR,280,,Balingerbrink,Emmen
7812SR,272,,Balingerbrink,Emmen
7824RE,2,,Slotstee,Emmen
7824RG,11,,De Goorns,Emmen
7824RG,1,,De Goorns,Emmen
7824TG,2,,Wendeling,Emmen
7824TG,28,,Wendeling,Emmen
7822JL,26,,Het Meerveld,Emmen
