5211HK,24,,Achter het Wild Varken,'s-Hertogenbosch
5211JM,21,,Lombardpassage,'s-Hertogenbosch
5221AX,1,,Hoefslag,'s-Hertogenbosch
5221AX,2,,Hoefslag,'s-Hertogenbosch
5221AX,3,,Hoefslag,'s-Hertogenbosch
5221AX,7,,Hoefslag,'s-Hertogenbosch
5221AX,9,,Hoefslag,'s-Hertogenbosch
5221AX,15,,Hoefslag,'s-Hertogenbosch
5221AX,17,,Hoefslag,'s-Hertogenbosch
5211VN,63,,Kempenlandstraat,'s-Hertogenbosch
5211VN,65,,Kempenlandstraat,'s-Hertogenbosch
5211VN,69,,Kempenlandstraat,'s-Hertogenbosch
5211VN,71,,Kempenlandstraat,'s-Hertogenbosch
5211VN,75,,Kempenlandstraat,'s-Hertogenbosch
5211VN,77,,Kempenlandstraat,'s-Hertogenbosch
5211VN,79,,Kempenlandstraat,'s-Hertogenbosch
5211VN,81,,Kempenlandstraat,'s-Hertogenbosch
5211VN,83,,Kempenlandstraat,'s-Hertogenbosch
5211VN,85,,Kempenlandstraat,'s-Hertogenbosch
5211VN,89,,Kempenlandstraat,'s-Hertogenbosch
5211VN,91,,Kempenlandstraat,'s-Hertogenbosch
5211VN,93,,Kempenlandstraat,'s-Hertogenbosch
5211VN,95,,Kempenlandstraat,'s-Hertogenbosch
5211VN,97,,Kempenlandstraat,'s-Hertogenbosch
5211VN,99,,Kempenlandstraat,'s-Hertogenbosch
5211VN,103,,Kempenlandstraat,'s-Hertogenbosch
5211VN,105,,Kempenlandstraat,'s-Hertogenbosch
5211VN,107,,Kempenlandstraat,'s-Hertogenbosch
5211VN,109,,Kempenlandstraat,'s-Hertogenbosch
5211VN,111,,Kempenlandstraat,'s-Hertogenbosch
5211VN,113,,Kempenlandstraat,'s-Hertogenbosch
5211VN,117,,Kempenlandstraat,'s-Hertogenbosch
5211VN,119,,Kempenlandstraat,'s-Hertogenbosch
5211VN,121,,Kempenlandstraat,'s-Hertogenbosch
5211VN,123,,Kempenlandstraat,'s-Hertogenbosch
5211VN,127,,Kempenlandstraat,'s-Hertogenbosch
5211VN,131,,Kempenlandstraat,'s-Hertogenbosch
5211VN,133,,Kempenlandstraat,'s-Hertogenbosch
5211KD,1,,Kerkstraat,'s-Hertogenbosch
5211KD,3,,Kerkstraat,'s-Hertogenbosch
5211KD,5,,Kerkstraat,'s-Hertogenbosch
5211KG,6,,Kerkstraat,'s-Hertogenbosch
5211KD,7,,Kerkstraat,'s-Hertogenbosch
5211KD,9,,Kerkstraat,'s-Hertogenbosch
5211KG,10,,Kerkstraat,'s-Hertogenbosch
5211KG,12,,Kerkstraat,'s-Hertogenbosch
5211KG,14,,Kerkstraat,'s-Hertogenbosch
5211KD,15,,Kerkstraat,'s-Hertogenbosch
5211KG,16,,Kerkstraat,'s-Hertogenbosch
5211KD,17,,Kerkstraat,'s-Hertogenbosch
5211KG,20,,Kerkstraat,'s-Hertogenbosch
5211KD,23,,Kerkstraat,'s-Hertogenbosch
5211KG,24,,Kerkstraat,'s-Hertogenbosch
5211KD,25,,Kerkstraat,'s-Hertogenbosch
5211KG,28,,Kerkstraat,'s-Hertogenbosch
5211KD,29,,Kerkstraat,'s-Hertogenbosch
5211KG,30,,Kerkstraat,'s-Hertogenbosch
5211KD,31,,Kerkstraat,'s-Hertogenbosch
5211KD,33,,Kerkstraat,'s-Hertogenbosch
5211KG,36,,Kerkstraat,'s-Hertogenbosch
5211KD,37,,Kerkstraat,'s-Hertogenbosch
5211KG,38,,Kerkstraat,'s-Hertogenbosch
5211KD,39,,Kerkstraat,'s-Hertogenbosch
5211KE,41,,Kerkstraat,'s-Hertogenbosch
5211KG,42,,Kerkstraat,'s-Hertogenbosch
5211KE,43,,Kerkstraat,'s-Hertogenbosch
5211RC,2,,Oostwal,'s-Hertogenbosch
5211RA,3,,Oostwal,'s-Hertogenbosch
5211RC,4,,Oostwal,'s-Hertogenbosch
5211RA,5,,Oostwal,'s-Hertogenbosch
5211RC,6,,Oostwal,'s-Hertogenbosch
5211RA,7,,Oostwal,'s-Hertogenbosch
5211RA,9,,Oostwal,'s-Hertogenbosch
5211RA,11,,Oostwal,'s-Hertogenbosch
5211RC,14,,Oostwal,'s-Hertogenbosch
5211RA,15,,Oostwal,'s-Hertogenbosch
5211RC,16,,Oostwal,'s-Hertogenbosch
5211RA,17,,Oostwal,'s-Hertogenbosch
5211RC,18,,Oostwal,'s-Hertogenbosch
5211RA,19,,Oostwal,'s-Hertogenbosch
5211RC,20,,Oostwal,'s-Hertogenbosch
