2,5283RB,Liempdseweg,Boxtel
3,5283RB,Liempdseweg,Boxtel
4,5283RB,Liempdseweg,Boxtel
6,5283RB,Liempdseweg,Boxtel
8,5283RB,Liempdseweg,Boxtel
87,5281CX,Kasteellaan,Boxtel
89,5281CX,Kasteellaan,Boxtel
91,5281CX,Kasteellaan,Boxtel
4,5282PV,Leenhoflaan,Boxtel
5,5282PV,Leenhoflaan,Boxtel
6,5282PV,Leenhoflaan,Boxtel
83,5282GA,Rentmeester,Boxtel
84,5282GA,Rentmeester,Boxtel
1,5282GE,Ridder,Boxtel
2,5282GE,Ridder,Boxtel
3,5282GE,Ridder,Boxtel
4,5282GE,Ridder,Boxtel
54,5283AV,Lierenbout,Boxtel
56,5283AV,Lierenbout,Boxtel
57,5283AW,Lierenbout,Boxtel
59,5283AW,Lierenbout,Boxtel
60,5283AV,Lierenbout,Boxtel
61,5283AW,Lierenbout,Boxtel
62,5283AV,Lierenbout,Boxtel
63,5283AW,Lierenbout,Boxtel
64,5283AV,Lierenbout,Boxtel
2,5283TJ,Lijndakker,Boxtel
4,5283TJ,Lijndakker,Boxtel
6,5283TJ,Lijndakker,Boxtel
8,5283TJ,Lijndakker,Boxtel
10,5283TJ,Lijndakker,Boxtel
12,5283TJ,Lijndakker,Boxtel
14,5283TJ,Lijndakker,Boxtel
16,5283TJ,Lijndakker,Boxtel
18,5283TJ,Lijndakker,Boxtel
20,5283TJ,Lijndakker,Boxtel
22,5283TJ,Lijndakker,Boxtel
24,5283TJ,Lijndakker,Boxtel
26,5283TJ,Lijndakker,Boxtel
28,5283TJ,Lijndakker,Boxtel
30,5283TJ,Lijndakker,Boxtel
32,5283TJ,Lijndakker,Boxtel
1,5283EW,Lijsterbesgaard,Boxtel
2,5283EW,Lijsterbesgaard,Boxtel
3,5283EW,Lijsterbesgaard,Boxtel
4,5283EW,Lijsterbesgaard,Boxtel
5,5283EW,Lijsterbesgaard,Boxtel
6,5283EW,Lijsterbesgaard,Boxtel
51,5281BT,Rechterstraat,Boxtel
6,5281LE,Lennisheuvel,Boxtel
7,5281LC,Lennisheuvel,Boxtel
8,5281LE,Lennisheuvel,Boxtel
9,5281LC,Lennisheuvel,Boxtel
10,5281LE,Lennisheuvel,Boxtel
11,5281LC,Lennisheuvel,Boxtel
12,5281LE,Lennisheuvel,Boxtel
14,5281LE,Lennisheuvel,Boxtel
22,5282GA,Rentmeester,Boxtel
23,5282GA,Rentmeester,Boxtel
24,5282GA,Rentmeester,Boxtel
25,5282GA,Rentmeester,Boxtel
26,5282GA,Rentmeester,Boxtel
27,5282GA,Rentmeester,Boxtel
28,5282GA,Rentmeester,Boxtel
29,5282GA,Rentmeester,Boxtel
30,5282GA,Rentmeester,Boxtel
31,5282GA,Rentmeester,Boxtel
32,5282GA,Rentmeester,Boxtel
33,5282GA,Rentmeester,Boxtel
34,5282GA,Rentmeester,Boxtel
35,5282GA,Rentmeester,Boxtel
36,5282GA,Rentmeester,Boxtel
37,5282GA,Rentmeester,Boxtel
