1423NR,105,,Kuifmees,Uithoorn
1423NR,107,,Kuifmees,Uithoorn
1423NR,109,,Kuifmees,Uithoorn
1423NS,34,,Kuifmees,Uithoorn
1423NS,36,,Kuifmees,Uithoorn
1423NS,38,,Kuifmees,Uithoorn
1423NS,40,,Kuifmees,Uithoorn
1423NS,42,,Kuifmees,Uithoorn
1423PC,41,,Azuurmees,Uithoorn
1424ND,75,,Boterdijk,De Kwakel
1424ND,77,,Boterdijk,De Kwakel
1423NB,40,,Boterdijk,Uithoorn
1423NB,42,,Boterdijk,Uithoorn
1423NB,44,,Boterdijk,Uithoorn
1423NB,46,,Boterdijk,Uithoorn
1423NB,54,,Boterdijk,Uithoorn
1421LB,2,,Buitenhof,Uithoorn
1422WN,37,,Vogellaan,Uithoorn
1422WN,39,,Vogellaan,Uithoorn
1422WN,41,,Vogellaan,Uithoorn
1422WN,43,,Vogellaan,Uithoorn
1422WN,45,,Vogellaan,Uithoorn
1422WN,49,,Vogellaan,Uithoorn
1422WN,51,,Vogellaan,Uithoorn
1422WN,53,,Vogellaan,Uithoorn
1422WR,2,,Dwergmuis,Uithoorn
1422WR,4,,Dwergmuis,Uithoorn
1422WR,1,,Dwergmuis,Uithoorn
1422WN,55,,Vogellaan,Uithoorn
1422WN,57,,Vogellaan,Uithoorn
1422WN,59,,Vogellaan,Uithoorn
1422WN,61,,Vogellaan,Uithoorn
1422WN,63,,Vogellaan,Uithoorn
1422WN,65,,Vogellaan,Uithoorn
1422WN,67,,Vogellaan,Uithoorn
1422WN,69,,Vogellaan,Uithoorn
1422WN,73,,Vogellaan,Uithoorn
1422WN,75,,Vogellaan,Uithoorn
1422WT,2,,Mol,Uithoorn
1422WT,4,,Mol,Uithoorn
1422WT,6,,Mol,Uithoorn
1422WS,2,,Veldmuis,Uithoorn
1422WS,4,,Veldmuis,Uithoorn
1422WS,6,,Veldmuis,Uithoorn
1422WS,8,,Veldmuis,Uithoorn
1422WS,10,,Veldmuis,Uithoorn
1422WS,12,,Veldmuis,Uithoorn
1422WS,14,,Veldmuis,Uithoorn
1422WS,16,,Veldmuis,Uithoorn
1422WS,18,,Veldmuis,Uithoorn
1422WS,20,,Veldmuis,Uithoorn
1422WS,22,,Veldmuis,Uithoorn
1422WS,24,,Veldmuis,Uithoorn
1422WS,26,,Veldmuis,Uithoorn
1422WN,79,,Vogellaan,Uithoorn
1422WN,81,,Vogellaan,Uithoorn
1422WN,83,,Vogellaan,Uithoorn
1422WN,85,,Vogellaan,Uithoorn
1422WV,1,,Haas,Uithoorn
1422WV,3,,Haas,Uithoorn
1422WV,5,,Haas,Uithoorn
1422WV,7,,Haas,Uithoorn
1422WV,9,,Haas,Uithoorn
1422WV,11,,Haas,Uithoorn
1422WV,13,,Haas,Uithoorn
1422WV,15,,Haas,Uithoorn
1422WT,10,,Mol,Uithoorn
1422WT,12,,Mol,Uithoorn
1422WT,14,,Mol,Uithoorn
1422WT,16,,Mol,Uithoorn
1422WT,18,,Mol,Uithoorn
1422WV,17,,Haas,Uithoorn
1422NE,100,,Randhoornweg,Uithoorn
1423RZ,18,,Noorse Lijster,Uithoorn
1423RZ,21,,Noorse Lijster,Uithoorn
1423RZ,23,,Noorse Lijster,Uithoorn
1423RZ,25,,Noorse Lijster,Uithoorn
1423RZ,27,,Noorse Lijster,Uithoorn
1423RZ,2,,Noorse Lijster,Uithoorn
1423RZ,4,,Noorse Lijster,Uithoorn
1423RZ,6,,Noorse Lijster,Uithoorn
1423RZ,8,,Noorse Lijster,Uithoorn
1423RZ,10,,Noorse Lijster,Uithoorn
1423RZ,12,,Noorse Lijster,Uithoorn
1423RZ,14,,Noorse Lijster,Uithoorn
1423RZ,16,,Noorse Lijster,Uithoorn
1423RZ,1,,Noorse Lijster,Uithoorn
1423RZ,3,,Noorse Lijster,Uithoorn
1423RZ,5,,Noorse Lijster,Uithoorn
1423RZ,7,,Noorse Lijster,Uithoorn
1423RZ,9,,Noorse Lijster,Uithoorn
1423RZ,11,,Noorse Lijster,Uithoorn
1423RZ,13,,Noorse Lijster,Uithoorn
1423RZ,15,,Noorse Lijster,Uithoorn
1423RZ,17,,Noorse Lijster,Uithoorn
1423RZ,19,,Noorse Lijster,Uithoorn
1423PS,50,,Grauwe Gans,Uithoorn
1423PT,2,,Blauwe Gans,Uithoorn
1423PT,4,,Blauwe Gans,Uithoorn
1423PT,6,,Blauwe Gans,Uithoorn
1423PT,8,,Blauwe Gans,Uithoorn
1423PT,10,,Blauwe Gans,Uithoorn
1423PT,12,,Blauwe Gans,Uithoorn
1423PT,16,,Blauwe Gans,Uithoorn
1423PT,18,,Blauwe Gans,Uithoorn
1423PT,20,,Blauwe Gans,Uithoorn
1423PT,22,,Blauwe Gans,Uithoorn
1423PT,24,,Blauwe Gans,Uithoorn
1423PT,26,,Blauwe Gans,Uithoorn
1423PT,28,,Blauwe Gans,Uithoorn
1423PT,30,,Blauwe Gans,Uithoorn
1423PT,32,,Blauwe Gans,Uithoorn
1423PT,1,,Blauwe Gans,Uithoorn
1423PT,3,,Blauwe Gans,Uithoorn
1423PT,5,,Blauwe Gans,Uithoorn
1423PT,7,,Blauwe Gans,Uithoorn
1423PT,9,,Blauwe Gans,Uithoorn
1423PT,11,,Blauwe Gans,Uithoorn
1423RA,15,,Rietgans,Uithoorn
1423RA,17,,Rietgans,Uithoorn
1423RA,19,,Rietgans,Uithoorn
1423RA,21,,Rietgans,Uithoorn
1423RA,23,,Rietgans,Uithoorn
1423RA,25,,Rietgans,Uithoorn
1423PR,30,,Grauwe Gans,Uithoorn
1423PR,32,,Grauwe Gans,Uithoorn
1423PR,34,,Grauwe Gans,Uithoorn
1423PR,36,,Grauwe Gans,Uithoorn
1423PS,38,,Grauwe Gans,Uithoorn
1423PS,40,,Grauwe Gans,Uithoorn
1423PS,42,,Grauwe Gans,Uithoorn
1423PS,44,,Grauwe Gans,Uithoorn
1423PS,46,,Grauwe Gans,Uithoorn
1423PS,48,,Grauwe Gans,Uithoorn
1423PV,43,,Roodhalsgans,Uithoorn
1423PV,45,,Roodhalsgans,Uithoorn
1423PV,47,,Roodhalsgans,Uithoorn
1423PV,49,,Roodhalsgans,Uithoorn
1423PV,51,,Roodhalsgans,Uithoorn
1423PM,17,,Canadese Gans,Uithoorn
1423PM,19,,Canadese Gans,Uithoorn
1423PM,21,,Canadese Gans,Uithoorn
1423PM,23,,Canadese Gans,Uithoorn
1423PM,25,,Canadese Gans,Uithoorn
1423PM,27,,Canadese Gans,Uithoorn
1423PM,29,,Canadese Gans,Uithoorn
1423PM,31,,Canadese Gans,Uithoorn
1423PM,33,,Canadese Gans,Uithoorn
1423PM,35,,Canadese Gans,Uithoorn
1423PR,26,,Grauwe Gans,Uithoorn
1423PR,28,,Grauwe Gans,Uithoorn
1423PM,11,,Canadese Gans,Uithoorn
1423PM,13,,Canadese Gans,Uithoorn
1423PM,15,,Canadese Gans,Uithoorn
1423PG,2,,Glanskopmees,Uithoorn
1423PG,4,,Glanskopmees,Uithoorn
1423PG,6,,Glanskopmees,Uithoorn
1423PG,8,,Glanskopmees,Uithoorn
1423PG,10,,Glanskopmees,Uithoorn
1424ND,67,,Boterdijk,De Kwakel
1423PB,19,,Azuurmees,Uithoorn
1423PB,21,,Azuurmees,Uithoorn
1423PC,27,,Azuurmees,Uithoorn
1423PC,29,,Azuurmees,Uithoorn
1423PC,35,,Azuurmees,Uithoorn
1423PC,37,,Azuurmees,Uithoorn
1423PG,12,,Glanskopmees,Uithoorn
1423PG,14,,Glanskopmees,Uithoorn
1423PG,16,,Glanskopmees,Uithoorn
