8232EH,92,,De Stelling 12,Lelystad
8232EH,96,,De Stelling 12,Lelystad
8232EJ,3,,De Stelling 13,Lelystad
8232EJ,5,,De Stelling 13,Lelystad
8232EJ,11,,De Stelling 13,Lelystad
8232EH,82,,De Stelling 12,Lelystad
8232EH,84,,De Stelling 12,Lelystad
8232EG,60,,De Stelling 12,Lelystad
8232EG,62,,De Stelling 12,Lelystad
8232EG,64,,De Stelling 12,Lelystad
8232EG,70,,De Stelling 12,Lelystad
8232EG,72,,De Stelling 12,Lelystad
8232EH,76,,De Stelling 12,Lelystad
8232EG,46,,De Stelling 12,Lelystad
