40,8822WG,De Tille,Arum
34,8822WG,De Tille,Arum
42,8754LC,It Ferset,Makkum
44,8754LC,It Ferset,Makkum
46,8754LC,It Ferset,Makkum
11,8765LT,Eemswouderlaan,Tjerkwerd
18,8762PM,Idserdaweg,Hieslum
48,8754LC,It Ferset,Makkum
50,8754LC,It Ferset,Makkum
52,8754LC,It Ferset,Makkum
11,8748GM,It Partoer,Witmarsum
33,8749GX,Kerkstraat,Pingjum
12,8762PL,Sierdsmaweg,Hieslum
16,8759LX,Jelle Huitemastrjitte,Exmorra
14,8759LX,Jelle Huitemastrjitte,Exmorra
29,8754LA,Wûnsstelling,Makkum
70,8822VG,Polle,Arum
1,8754HJ,Langezand,Makkum
13,8754GK,Suderseewei,Makkum
15,8754GK,Suderseewei,Makkum
19,8759LB,Dorpsstraat,Exmorra
31,8761PB,Buren,Ferwoude
10,8748GM,It Partoer,Witmarsum
20,8748GM,It Partoer,Witmarsum
30,8821LC,Harlingerweg,Kimswerd
5,8759LW,Surein,Exmorra
1,8748EH,De Terp,Witmarsum
2,8748EH,De Terp,Witmarsum
3,8748EH,De Terp,Witmarsum
4,8748EH,De Terp,Witmarsum
5,8748EH,De Terp,Witmarsum
6,8748EH,De Terp,Witmarsum
7,8748EH,De Terp,Witmarsum
8,8748EH,De Terp,Witmarsum
9,8748EH,De Terp,Witmarsum
10,8748EH,De Terp,Witmarsum
11,8748EH,De Terp,Witmarsum
12,8748EH,De Terp,Witmarsum
13,8748EH,De Terp,Witmarsum
14,8748EH,De Terp,Witmarsum
15,8748EH,De Terp,Witmarsum
16,8748EH,De Terp,Witmarsum
17,8748EH,De Terp,Witmarsum
18,8748EH,De Terp,Witmarsum
19,8748EH,De Terp,Witmarsum
20,8748EH,De Terp,Witmarsum
21,8748EH,De Terp,Witmarsum
22,8748EH,De Terp,Witmarsum
23,8748EH,De Terp,Witmarsum
24,8748EH,De Terp,Witmarsum
25,8748EH,De Terp,Witmarsum
26,8748EH,De Terp,Witmarsum
27,8748EH,De Terp,Witmarsum
28,8748EH,De Terp,Witmarsum
29,8748EH,De Terp,Witmarsum
30,8748EH,De Terp,Witmarsum
31,8748EH,De Terp,Witmarsum
32,8748EH,De Terp,Witmarsum
33,8748EH,De Terp,Witmarsum
34,8748EH,De Terp,Witmarsum
35,8748EH,De Terp,Witmarsum
36,8748EH,De Terp,Witmarsum
37,8748EH,De Terp,Witmarsum
38,8748EH,De Terp,Witmarsum
39,8748EH,De Terp,Witmarsum
40,8748EH,De Terp,Witmarsum
41,8748EH,De Terp,Witmarsum
42,8748EH,De Terp,Witmarsum
43,8748EH,De Terp,Witmarsum
44,8748EH,De Terp,Witmarsum
45,8748EH,De Terp,Witmarsum
46,8748EH,De Terp,Witmarsum
47,8748EH,De Terp,Witmarsum
48,8748EH,De Terp,Witmarsum
49,8748EH,De Terp,Witmarsum
50,8748EH,De Terp,Witmarsum
51,8748EH,De Terp,Witmarsum
52,8748EH,De Terp,Witmarsum
53,8748EH,De Terp,Witmarsum
54,8748EH,De Terp,Witmarsum
55,8748EH,De Terp,Witmarsum
56,8748EH,De Terp,Witmarsum
57,8748EH,De Terp,Witmarsum
58,8748EH,De Terp,Witmarsum
59,8748EH,De Terp,Witmarsum
60,8748EH,De Terp,Witmarsum
61,8748EH,De Terp,Witmarsum
62,8748EH,De Terp,Witmarsum
63,8748EH,De Terp,Witmarsum
64,8748EH,De Terp,Witmarsum
65,8748EH,De Terp,Witmarsum
66,8748EH,De Terp,Witmarsum
67,8748EH,De Terp,Witmarsum
68,8748EH,De Terp,Witmarsum
69,8748EH,De Terp,Witmarsum
70,8748EH,De Terp,Witmarsum
71,8748EH,De Terp,Witmarsum
2,8748EJ,De Tunen,Witmarsum
5,8765LX,Dyksicht,Tjerkwerd
7,8748GM,It Partoer,Witmarsum
12,8748GK,De Krânse,Witmarsum
6,8765LX,Dyksicht,Tjerkwerd
1,4532CT,Aagje Dekenstraat,Terneuzen
2,4532CT,Aagje Dekenstraat,Terneuzen
3,4532CT,Aagje Dekenstraat,Terneuzen
4,4532CT,Aagje Dekenstraat,Terneuzen
5,4532CT,Aagje Dekenstraat,Terneuzen
6,4532CT,Aagje Dekenstraat,Terneuzen
7,4532CT,Aagje Dekenstraat,Terneuzen
8,4532CT,Aagje Dekenstraat,Terneuzen
9,4532CT,Aagje Dekenstraat,Terneuzen
10,4532CT,Aagje Dekenstraat,Terneuzen
11,4532CT,Aagje Dekenstraat,Terneuzen
12,4532CT,Aagje Dekenstraat,Terneuzen
13,4532CT,Aagje Dekenstraat,Terneuzen
14,4532CT,Aagje Dekenstraat,Terneuzen
15,4532CT,Aagje Dekenstraat,Terneuzen
16,4532CT,Aagje Dekenstraat,Terneuzen
17,4532CT,Aagje Dekenstraat,Terneuzen
19,4532CT,Aagje Dekenstraat,Terneuzen
21,4532CT,Aagje Dekenstraat,Terneuzen
23,4532CT,Aagje Dekenstraat,Terneuzen
25,4532CT,Aagje Dekenstraat,Terneuzen
1,4537XR,Abeelstraat,Terneuzen
2,4537XR,Abeelstraat,Terneuzen
3,4537XR,Abeelstraat,Terneuzen
4,4537XR,Abeelstraat,Terneuzen
5,4537XR,Abeelstraat,Terneuzen
6,4537XR,Abeelstraat,Terneuzen
7,4537XR,Abeelstraat,Terneuzen
8,4537XR,Abeelstraat,Terneuzen
9,4537XR,Abeelstraat,Terneuzen
10,4537XR,Abeelstraat,Terneuzen
11,4537XR,Abeelstraat,Terneuzen
12,4537XR,Abeelstraat,Terneuzen
13,4537XR,Abeelstraat,Terneuzen
14,4537XR,Abeelstraat,Terneuzen
1,4535BE,Abel Tasmanstraat,Terneuzen
2,4535BE,Abel Tasmanstraat,Terneuzen
3,4535BE,Abel Tasmanstraat,Terneuzen
4,4535BE,Abel Tasmanstraat,Terneuzen
5,4535BE,Abel Tasmanstraat,Terneuzen
6,4535BE,Abel Tasmanstraat,Terneuzen
7,4535BE,Abel Tasmanstraat,Terneuzen
8,4535BE,Abel Tasmanstraat,Terneuzen
10,4535BE,Abel Tasmanstraat,Terneuzen
12,4535BE,Abel Tasmanstraat,Terneuzen
14,4535BE,Abel Tasmanstraat,Terneuzen
16,4535BE,Abel Tasmanstraat,Terneuzen
18,4535BE,Abel Tasmanstraat,Terneuzen
20,4535BE,Abel Tasmanstraat,Terneuzen
1,4537XP,Acaciastraat,Terneuzen
2,4537XP,Acaciastraat,Terneuzen
3,4537XP,Acaciastraat,Terneuzen
4,4537XP,Acaciastraat,Terneuzen
5,4537XP,Acaciastraat,Terneuzen
6,4537XP,Acaciastraat,Terneuzen
7,4537XP,Acaciastraat,Terneuzen
