5406BP,5,,Graveur,Uden
5406BP,3,,Graveur,Uden
5406BP,1,,Graveur,Uden
5406CJ,18,,Langgevel,Uden
5406CJ,20,,Langgevel,Uden
5406CJ,24,,Langgevel,Uden
5406CJ,26,,Langgevel,Uden
5406CJ,30,,Langgevel,Uden
5406CJ,32,,Langgevel,Uden
5406CJ,34,,Langgevel,Uden
5406CK,1,,Kortgevel,Uden
5406CK,3,,Kortgevel,Uden
5406CK,5,,Kortgevel,Uden
5406CK,7,,Kortgevel,Uden
5406CK,9,,Kortgevel,Uden
5406CK,11,,Kortgevel,Uden
5406CK,15,,Kortgevel,Uden
5406CK,17,,Kortgevel,Uden
5406CK,19,,Kortgevel,Uden
5406CH,114,,Stalreep,Uden
5406CH,112,,Stalreep,Uden
5406XT,3,,Oostwijk,Uden
5406XT,5,,Oostwijk,Uden
5406XT,7,,Oostwijk,Uden
5406XT,13,,Oostwijk,Uden
5406XT,18,,Oostwijk,Uden
5406XT,14,,Oostwijk,Uden
5406XT,20,,Oostwijk,Uden
5406XT,41,,Oostwijk,Uden
5406XT,39,,Oostwijk,Uden
5406XT,37,,Oostwijk,Uden
5405AN,4,,Linie,Uden
5402KB,93,,President Kennedylaan,Uden
5403XE,900,,Germenzeel,Uden
5403XD,800,,Germenzeel,Uden
5403XD,700,,Germenzeel,Uden
5401HT,44,,De Misse,Uden
5401HT,46,,De Misse,Uden
5401HT,50,,De Misse,Uden
5401HT,48,,De Misse,Uden
5401GT,213,,Pastoor Spieringsstraat,Uden
5401HX,16,,Mondriaanplein,Uden
5401HX,14,,Mondriaanplein,Uden
5401HD,4,,Julianastraat,Uden
5401CB,18,,Oranjestraat,Uden
5404NC,11,,Zoggelstraat,Uden
5404LG,46,,Oude Maasstraat,Uden
5405BB,4,,Kuiperstraat,Uden
5405NH,66,,Neutronenlaan,Uden
5403BS,607,,Jonkerveld,Uden
5403TT,138,,Vaarzenhof,Uden
5403TL,403,,Raam,Uden
5401BC,21,,Kerkstraat,Uden
5404LS,76,,Hoogzoggel,Uden
5404NJ,4,,Losplaats,Uden
5401ZR,42,,Aalstweg,Uden
5402VC,40,,Reinoldstraat,Uden
5402HX,10,,Tamboerijnstraat,Uden
5402HX,14,,Tamboerijnstraat,Uden
5401GP,20,,Markt,Uden
5409SH,12,,Vogelstraat,Odiliapeel
5409RD,31,,Zonnedauw,Odiliapeel
5409RD,29,,Zonnedauw,Odiliapeel
5409RD,25,,Zonnedauw,Odiliapeel
5409RD,23,,Zonnedauw,Odiliapeel
5409RD,21,,Zonnedauw,Odiliapeel
5409RD,19,,Zonnedauw,Odiliapeel
5409RD,13,,Zonnedauw,Odiliapeel
5409RD,11,,Zonnedauw,Odiliapeel
5409RD,9,,Zonnedauw,Odiliapeel
5409RD,7,,Zonnedauw,Odiliapeel
5409RD,5,,Zonnedauw,Odiliapeel
5409RC,6,,Peelseheide,Odiliapeel
5409RC,2,,Peelseheide,Odiliapeel
5409RD,1,,Zonnedauw,Odiliapeel
5409RC,4,,Peelseheide,Odiliapeel
5401NM,4,,Abdijlaan,Uden
5401NM,6,,Abdijlaan,Uden
5401NM,10,,Abdijlaan,Uden
5401NM,14,,Abdijlaan,Uden
5406BP,18,,Graveur,Uden
5404NV,85,,Botermarkt,Uden
5404NV,83,,Botermarkt,Uden
5402ZG,6,3,Hyacintstraat,Uden
5402ZG,6,1,Hyacintstraat,Uden
1234XX,6,11,Hyacintstraat,Uden
5402ZG,6,11,Hyacintstraat,Uden
1234XX,6,12,Hyacintstraat,Uden
5402ZG,6,12,Hyacintstraat,Uden
1234XX,613,,Bosveld,Uden
5402ZG,6,13,Hyacintstraat,Uden
1234XX,6,16,Hyacintstraat,Uden
5402ZG,6,16,Hyacintstraat,Uden
1234XX,6,17,Hyacintstraat,Uden
5402ZG,6,17,Hyacintstraat,Uden
1234XX,38,9,Saxofoonstraat,Uden
5402ZP,38,9,Lavendelstraat,Uden
1234XX,38,7,Saxofoonstraat,Uden
5402ZP,38,7,Lavendelstraat,Uden
1234XX,38,5,Lavendelstraat,Uden
5402ZP,38,5,Lavendelstraat,Uden
5406PL,9,,Looweg,Uden
5406VC,3,,Hengstheuvelweg,Uden
5406XA,1,,Pnemstraat,Uden
5405BS,18,,Koperslagerstraat,Uden
5405BS,20,,Koperslagerstraat,Uden
5405BS,28,,Koperslagerstraat,Uden
5405BS,26,,Koperslagerstraat,Uden
5405BS,24,,Koperslagerstraat,Uden
5405BS,22,,Koperslagerstraat,Uden
5405BS,30,,Koperslagerstraat,Uden
5405BS,32,,Koperslagerstraat,Uden
5405BS,34,,Koperslagerstraat,Uden
5405BS,36,,Koperslagerstraat,Uden
5405BS,14,,Koperslagerstraat,Uden
5405BS,29,,Koperslagerstraat,Uden
5405BS,33,,Koperslagerstraat,Uden
5405BS,35,,Koperslagerstraat,Uden
5405BS,37,,Koperslagerstraat,Uden
5405BS,39,,Koperslagerstraat,Uden
5405BS,10,,Koperslagerstraat,Uden
5405BS,8,,Koperslagerstraat,Uden
5405BS,6,,Koperslagerstraat,Uden
5405BS,12,,Koperslagerstraat,Uden
5405BS,13,,Koperslagerstraat,Uden
5405BS,11,,Koperslagerstraat,Uden
5408SB,18,,Liessentstraat,Volkel
5408SB,20,,Liessentstraat,Volkel
5408SB,22,,Liessentstraat,Volkel
5408SB,24,,Liessentstraat,Volkel
5408SB,16,,Liessentstraat,Volkel
5405BE,4,,Erfstraat,Uden
5408SB,11,,Liessentstraat,Volkel
5405AH,9,,Liessentstraat,Uden
5405AH,7,,Liessentstraat,Uden
5405AK,1,,Frontstraat,Uden
5405AH,3,,Liessentstraat,Uden
5405AG,4,,Liessentstraat,Uden
5405AG,6,,Frontstraat,Uden
5405AB,10,,Industrielaan,Uden
5405AG,2,,Liessentstraat,Uden
5405AG,8,,Liessentstraat,Uden
5405AG,10,,Liessentstraat,Uden
5405AG,14,,Liessentstraat,Uden
5405AS,19,,Groenendal,Uden
5405PA,1,,Udenseweg,Uden
5406VT,2,,Erikaweg,Uden
5403KZ,117,,Morene,Uden
5403KZ,123,,Morene,Uden
5403KZ,121,,Morene,Uden
5403KZ,111,,Morene,Uden
5403KX,147,,Morene,Uden
5403KX,145,,Morene,Uden
5403KX,143,,Morene,Uden
5403KX,141,,Morene,Uden
5403KX,139,,Morene,Uden
5403KX,135,,Morene,Uden
5403KX,137,,Morene,Uden
