2712HB,39,,Eerste Stationsstraat,Zoetermeer
2712HC,67,,Eerste Stationsstraat,Zoetermeer
2712HC,69,,Eerste Stationsstraat,Zoetermeer
2712CB,3,,Julianalaan,Zoetermeer
2712CB,5,,Julianalaan,Zoetermeer
2712CC,15,,Irenelaan,Zoetermeer
2712CC,17,,Irenelaan,Zoetermeer
2712CC,21,,Irenelaan,Zoetermeer
2712CK,14,,Beatrixstraat,Zoetermeer
2712CN,6,,Margrietstraat,Zoetermeer
2712CX,8,,Emmastraat,Zoetermeer
2712CZ,4,,Constantijnstraat,Zoetermeer
2712CZ,8,,Constantijnstraat,Zoetermeer
2712EB,29,,Frederik Hendriklaan,Zoetermeer
2712ED,24,,Frederik Hendriklaan,Zoetermeer
2712EE,30,,Frederik Hendriklaan,Zoetermeer
2712EE,38,,Frederik Hendriklaan,Zoetermeer
2712EG,11,,Tollensstraat,Zoetermeer
2712EG,45,,Tollensstraat,Zoetermeer
2712EG,7,,Tollensstraat,Zoetermeer
2712EH,10,,Tollensstraat,Zoetermeer
2712EH,18,,Tollensstraat,Zoetermeer
2712AG,125,,Dorpsstraat,Zoetermeer
2712AG,153,,Dorpsstraat,Zoetermeer
2712AH,155,,Dorpsstraat,Zoetermeer
2712AH,157,,Dorpsstraat,Zoetermeer
2712AH,171,,Dorpsstraat,Zoetermeer
2712AJ,207,,Dorpsstraat,Zoetermeer
2712EN,31,,Kloosstraat,Zoetermeer
2712EN,45,,Kloosstraat,Zoetermeer
2712EP,14,,Kloosstraat,Zoetermeer
2712EP,18,,Kloosstraat,Zoetermeer
2712ER,20,,Kloosstraat,Zoetermeer
2712ER,62,,Kloosstraat,Zoetermeer
2712ER,66,,Kloosstraat,Zoetermeer
2712ER,72,,Kloosstraat,Zoetermeer
2712EV,27,,da Costastraat,Zoetermeer
2712EV,31,,da Costastraat,Zoetermeer
2712EX,13,,Sanne van Havelteplein,Zoetermeer
2712EX,16,,Sanne van Havelteplein,Zoetermeer
2712EX,23,,Sanne van Havelteplein,Zoetermeer
2712EX,32,,Sanne van Havelteplein,Zoetermeer
2712EX,5,,Sanne van Havelteplein,Zoetermeer
2712EX,6,,Sanne van Havelteplein,Zoetermeer
2712EX,8,,Sanne van Havelteplein,Zoetermeer
2712EZ,39,,Sanne van Havelteplein,Zoetermeer
2712EZ,46,,Sanne van Havelteplein,Zoetermeer
2712EZ,50,,Sanne van Havelteplein,Zoetermeer
2712EZ,51,,Sanne van Havelteplein,Zoetermeer
2712GA,21,,Oranjelaan,Zoetermeer
2712GA,25,,Oranjelaan,Zoetermeer
2712GA,33,,Oranjelaan,Zoetermeer
2712GB,47,,Oranjelaan,Zoetermeer
2712HE,147,,Eerste Stationsstraat,Zoetermeer
2712HG,157,,Eerste Stationsstraat,Zoetermeer
2712HG,161,,Eerste Stationsstraat,Zoetermeer
2712HG,173,,Eerste Stationsstraat,Zoetermeer
2712HG,175,,Eerste Stationsstraat,Zoetermeer
2712HH,42,,Eerste Stationsstraat,Zoetermeer
2712HH,48,,Eerste Stationsstraat,Zoetermeer
2712HK,100,,Eerste Stationsstraat,Zoetermeer
2712HL,140,,Eerste Stationsstraat,Zoetermeer
2712HL,144,,Eerste Stationsstraat,Zoetermeer
2712HM,162,,Eerste Stationsstraat,Zoetermeer
2712HM,188,,Eerste Stationsstraat,Zoetermeer
2712JG,191,,Karel Doormanlaan,Zoetermeer
2712JG,207,,Karel Doormanlaan,Zoetermeer
2712JH,233,,Karel Doormanlaan,Zoetermeer
2712JH,243,,Karel Doormanlaan,Zoetermeer
2712JH,255,,Karel Doormanlaan,Zoetermeer
2712JK,18,,Karel Doormanlaan,Zoetermeer
2712JK,26,,Karel Doormanlaan,Zoetermeer
2712JP,62,,Karel Doormanlaan,Zoetermeer
2712JT,35,,Frans Halsstraat,Zoetermeer
2712JT,41,,Frans Halsstraat,Zoetermeer
2712JV,16,,Frans Halsstraat,Zoetermeer
2712JV,18,,Frans Halsstraat,Zoetermeer
2712JV,26,,Frans Halsstraat,Zoetermeer
2712JW,10,,Trompstraat,Zoetermeer
2712JX,1,,Evertsenstraat,Zoetermeer
2712JX,11,,Evertsenstraat,Zoetermeer
2712JX,5,,Evertsenstraat,Zoetermeer
2712KC,9,,Piet Heinplein,Zoetermeer
2712KD,5,,Piet Heinstraat,Zoetermeer
2712KD,7,,Piet Heinstraat,Zoetermeer
2712KE,2,,Piet Heinstraat,Zoetermeer
2712KE,20,,Piet Heinstraat,Zoetermeer
2712KP,1,,Van Brakelstraat,Zoetermeer
2712KP,9,,Van Brakelstraat,Zoetermeer
2712KS,12,,Van Brakelstraat,Zoetermeer
2712KS,14,,Van Brakelstraat,Zoetermeer
2712KS,24,,Van Brakelstraat,Zoetermeer
2712EJ,1,,Perkstraat,Zoetermeer
2712EK,19,,Perkstraat,Zoetermeer
2712EK,49,,Perkstraat,Zoetermeer
2712EL,2,,Perkstraat,Zoetermeer
2712EL,22,,Perkstraat,Zoetermeer
2712EM,1,,Kloosstraat,Zoetermeer
2712EM,5,,Kloosstraat,Zoetermeer
2712PB,39,,Bleiswijkseweg,Zoetermeer
2712PB,47,,Bleiswijkseweg,Zoetermeer
2712PB,55,,Bleiswijkseweg,Zoetermeer
2712PD,32,,Bleiswijkseweg,Zoetermeer
2712PD,52,,Bleiswijkseweg,Zoetermeer
2712PE,62,,Bleiswijkseweg,Zoetermeer
2712PE,78,,Bleiswijkseweg,Zoetermeer
2712PE,88,,Bleiswijkseweg,Zoetermeer
2712PJ,49,,Rokkeveenseweg,Zoetermeer
2712PM,6,,Zegwaartseweg,Zoetermeer
2712PM,8,,Zegwaartseweg,Zoetermeer
2712PW,3,,Burgemeester Vernède-sportpark,Zoetermeer
2712PT,107,,Dr. J. W. Paltelaan,Zoetermeer
2712PX,457,,Nassaulaan,Zoetermeer
2712PX,463,,Nassaulaan,Zoetermeer
2712PX,479,,Nassaulaan,Zoetermeer
2712PX,511,,Nassaulaan,Zoetermeer
2712PX,515,,Nassaulaan,Zoetermeer
2712PX,523,,Nassaulaan,Zoetermeer
2712PZ,561,,Nassaulaan,Zoetermeer
2712PZ,571,,Nassaulaan,Zoetermeer
2712PZ,577,,Nassaulaan,Zoetermeer
2712PZ,605,,Nassaulaan,Zoetermeer
2712PZ,633,,Nassaulaan,Zoetermeer
2712PZ,641,,Nassaulaan,Zoetermeer
2712RC,23,,Vondelstraat,Zoetermeer
2712RC,31,,Vondelstraat,Zoetermeer
2712RD,10,,Vondelstraat,Zoetermeer
2712RD,16,,Vondelstraat,Zoetermeer
2712RD,20,,Vondelstraat,Zoetermeer
2712RD,24,,Vondelstraat,Zoetermeer
2712RD,30,,Vondelstraat,Zoetermeer
2712RD,8,,Vondelstraat,Zoetermeer
2712RE,44,,Vondelstraat,Zoetermeer
2712RE,64,,Vondelstraat,Zoetermeer
2712RE,78,,Vondelstraat,Zoetermeer
2712RH,14,,Jacob Catsstraat,Zoetermeer
2712RH,8,,Jacob Catsstraat,Zoetermeer
2712RK,10,,P.C. Hooftstraat,Zoetermeer
2712JG,165,,Karel Doormanlaan,Zoetermeer
2712VV,104,,Jan Hoornstraat,Zoetermeer
2712VW,1,,John McCormickstraat,Zoetermeer
2712VW,17,,John McCormickstraat,Zoetermeer
2712VX,26,,John McCormickstraat,Zoetermeer
2712VZ,50,,John McCormickstraat,Zoetermeer
2712VZ,52,,John McCormickstraat,Zoetermeer
2712XE,11,,Binnenweg,Zoetermeer
2712XE,7,,Binnenweg,Zoetermeer
