7415CR,31,,E. Tesschenmacherstraat,Deventer
7415CT,32,,E. Tesschenmacherstraat,Deventer
7415CR,33,,E. Tesschenmacherstraat,Deventer
7415CT,34,,E. Tesschenmacherstraat,Deventer
7415CR,35,,E. Tesschenmacherstraat,Deventer
7415CT,36,,E. Tesschenmacherstraat,Deventer
7415CT,38,,E. Tesschenmacherstraat,Deventer
7415CR,39,,E. Tesschenmacherstraat,Deventer
7415CV,40,,E. Tesschenmacherstraat,Deventer
7415CS,41,,E. Tesschenmacherstraat,Deventer
7415CV,42,,E. Tesschenmacherstraat,Deventer
7415CS,43,,E. Tesschenmacherstraat,Deventer
7415CV,44,,E. Tesschenmacherstraat,Deventer
7415CS,45,,E. Tesschenmacherstraat,Deventer
7412TS,35,,Frans Halsstraat,Deventer
7412TV,36,,Frans Halsstraat,Deventer
7412TS,37,,Frans Halsstraat,Deventer
7412TV,38,,Frans Halsstraat,Deventer
7412TS,39,,Frans Halsstraat,Deventer
7412TV,40,,Frans Halsstraat,Deventer
7412TS,41,,Frans Halsstraat,Deventer
7412TV,42,,Frans Halsstraat,Deventer
7412TS,43,,Frans Halsstraat,Deventer
7412TV,44,,Frans Halsstraat,Deventer
7412TS,45,,Frans Halsstraat,Deventer
7412TV,46,,Frans Halsstraat,Deventer
7412TS,47,,Frans Halsstraat,Deventer
7412TV,48,,Frans Halsstraat,Deventer
7412TS,49,,Frans Halsstraat,Deventer
7412TV,50,,Frans Halsstraat,Deventer
7412TS,51,,Frans Halsstraat,Deventer
7412TV,52,,Frans Halsstraat,Deventer
7412TS,53,,Frans Halsstraat,Deventer
7412TV,54,,Frans Halsstraat,Deventer
7412TS,55,,Frans Halsstraat,Deventer
7412TV,56,,Frans Halsstraat,Deventer
7412TS,57,,Frans Halsstraat,Deventer
7412TV,58,,Frans Halsstraat,Deventer
7412TS,59,,Frans Halsstraat,Deventer
7412TV,60,,Frans Halsstraat,Deventer
7412TS,61,,Frans Halsstraat,Deventer
7412TV,62,,Frans Halsstraat,Deventer
7412TV,64,,Frans Halsstraat,Deventer
7412TV,66,,Frans Halsstraat,Deventer
7412TV,68,,Frans Halsstraat,Deventer
7412PA,1,,Frans van Mierisstraat,Deventer
7412PA,3,,Frans van Mierisstraat,Deventer
7412PA,5,,Frans van Mierisstraat,Deventer
7412PA,7,,Frans van Mierisstraat,Deventer
7412PA,9,,Frans van Mierisstraat,Deventer
7412PA,11,,Frans van Mierisstraat,Deventer
7412PA,13,,Frans van Mierisstraat,Deventer
7412PA,15,,Frans van Mierisstraat,Deventer
7412PA,17,,Frans van Mierisstraat,Deventer
7412PA,19,,Frans van Mierisstraat,Deventer
7412PA,21,,Frans van Mierisstraat,Deventer
7412PA,23,,Frans van Mierisstraat,Deventer
7412PA,25,,Frans van Mierisstraat,Deventer
7412PB,27,,Frans van Mierisstraat,Deventer
7412PB,29,,Frans van Mierisstraat,Deventer
7412PB,31,,Frans van Mierisstraat,Deventer
7412PB,33,,Frans van Mierisstraat,Deventer
7412PB,35,,Frans van Mierisstraat,Deventer
7412PB,37,,Frans van Mierisstraat,Deventer
7412PB,39,,Frans van Mierisstraat,Deventer
7412PB,41,,Frans van Mierisstraat,Deventer
7412PB,43,,Frans van Mierisstraat,Deventer
7412PB,45,,Frans van Mierisstraat,Deventer
7412PB,47,,Frans van Mierisstraat,Deventer
7412PB,49,,Frans van Mierisstraat,Deventer
7412PB,51,,Frans van Mierisstraat,Deventer
7412PB,53,,Frans van Mierisstraat,Deventer
7425RL,1,,Fré Cohenstraat,Deventer
7425RL,2,,Fré Cohenstraat,Deventer
7425RL,3,,Fré Cohenstraat,Deventer
7425RL,4,,Fré Cohenstraat,Deventer
7425RL,5,,Fré Cohenstraat,Deventer
7425RL,6,,Fré Cohenstraat,Deventer
7425RL,7,,Fré Cohenstraat,Deventer
7425RL,8,,Fré Cohenstraat,Deventer
7425RL,9,,Fré Cohenstraat,Deventer
7425RL,10,,Fré Cohenstraat,Deventer
7425RL,12,,Fré Cohenstraat,Deventer
7415VZ,1,,Frederik van Badenstraat,Deventer
7415VZ,3,,Frederik van Badenstraat,Deventer
7415VZ,5,,Frederik van Badenstraat,Deventer
7415VZ,7,,Frederik van Badenstraat,Deventer
7415VZ,9,,Frederik van Badenstraat,Deventer
7415VZ,11,,Frederik van Badenstraat,Deventer
7415VZ,13,,Frederik van Badenstraat,Deventer
7415VZ,15,,Frederik van Badenstraat,Deventer
7415VZ,17,,Frederik van Badenstraat,Deventer
7415VZ,19,,Frederik van Badenstraat,Deventer
7415VZ,21,,Frederik van Badenstraat,Deventer
7415VZ,23,,Frederik van Badenstraat,Deventer
7415VZ,25,,Frederik van Badenstraat,Deventer
7415VZ,27,,Frederik van Badenstraat,Deventer
7415VZ,29,,Frederik van Badenstraat,Deventer
7415VZ,31,,Frederik van Badenstraat,Deventer
7415VZ,33,,Frederik van Badenstraat,Deventer
7415VZ,35,,Frederik van Badenstraat,Deventer
7415VZ,37,,Frederik van Badenstraat,Deventer
7415VZ,39,,Frederik van Badenstraat,Deventer
7415VZ,41,,Frederik van Badenstraat,Deventer
7415VZ,43,,Frederik van Badenstraat,Deventer
7415VZ,45,,Frederik van Badenstraat,Deventer
7415VZ,47,,Frederik van Badenstraat,Deventer
