5066EL,18,,Ruymheuvel,Moergestel
5066EL,19,,Ruymheuvel,Moergestel
5066EL,2,,Ruymheuvel,Moergestel
5066EL,20,,Ruymheuvel,Moergestel
5066EL,22,,Ruymheuvel,Moergestel
5066EL,24,,Ruymheuvel,Moergestel
5066EL,3,,Ruymheuvel,Moergestel
5066EL,4,,Ruymheuvel,Moergestel
5066EL,5,,Ruymheuvel,Moergestel
5066EL,6,,Ruymheuvel,Moergestel
5066EL,7,,Ruymheuvel,Moergestel
5066EL,8,,Ruymheuvel,Moergestel
5066EL,9,,Ruymheuvel,Moergestel
5066EC,1,,Schoolstraat,Moergestel
5066EC,11,,Schoolstraat,Moergestel
5066EE,14,,Schoolstraat,Moergestel
5066EC,15,,Schoolstraat,Moergestel
5066EE,16,,Schoolstraat,Moergestel
5066EC,17,,Schoolstraat,Moergestel
5066EE,18,,Schoolstraat,Moergestel
5066EC,19,,Schoolstraat,Moergestel
5066EE,2,,Schoolstraat,Moergestel
5066EE,20,,Schoolstraat,Moergestel
5066EC,21,,Schoolstraat,Moergestel
5066EE,22,,Schoolstraat,Moergestel
5066EC,23,,Schoolstraat,Moergestel
5066EE,24,,Schoolstraat,Moergestel
5066EC,25,,Schoolstraat,Moergestel
5066EE,26,,Schoolstraat,Moergestel
5066EC,27,,Schoolstraat,Moergestel
5066EE,28,,Schoolstraat,Moergestel
5066EC,29,,Schoolstraat,Moergestel
5066EE,30,,Schoolstraat,Moergestel
5066EC,31,,Schoolstraat,Moergestel
5066EE,32,,Schoolstraat,Moergestel
5066EC,33,,Schoolstraat,Moergestel
5066EE,34,,Schoolstraat,Moergestel
5066ED,35,,Schoolstraat,Moergestel
5066EE,36,,Schoolstraat,Moergestel
5066EE,38,,Schoolstraat,Moergestel
5066ED,39,,Schoolstraat,Moergestel
5066EE,4,,Schoolstraat,Moergestel
5066EE,40,,Schoolstraat,Moergestel
5066ED,41,,Schoolstraat,Moergestel
5066EE,42,,Schoolstraat,Moergestel
5066ED,43,,Schoolstraat,Moergestel
5066XN,6,,Raamackerstraat,Moergestel
5066XN,7,,Raamackerstraat,Moergestel
5066XN,8,,Raamackerstraat,Moergestel
5066XN,9,,Raamackerstraat,Moergestel
5066CS,1,,Reedijk,Moergestel
5066CS,3,,Reedijk,Moergestel
5066CS,4,,Reedijk,Moergestel
5066CS,5,,Reedijk,Moergestel
5066CS,6,,Reedijk,Moergestel
5066CS,7,,Reedijk,Moergestel
5066CS,7,BEDR,Reedijk,Moergestel
5066CS,8,,Reedijk,Moergestel
5066CS,9,,Reedijk,Moergestel
