6983AB,6,,Parallelweg,Doesburg
6981HC,87,,Kraakselaan,Doesburg
6981HC,93,,Kraakselaan,Doesburg
6981HJ,98,,Kraakselaan,Doesburg
6981HD,111,,Kraakselaan,Doesburg
6982AB,27,,Koppelweg,Doesburg
6982AB,33,,Koppelweg,Doesburg
6982AG,44,,Koppelweg,Doesburg
6982AC,49,,Koppelweg,Doesburg
6982AG,54,,Koppelweg,Doesburg
6982AG,60,,Koppelweg,Doesburg
6982AJ,114,,Koppelweg,Doesburg
6982AD,119,,Koppelweg,Doesburg
6982AD,125,,Koppelweg,Doesburg
6982AJ,132,,Koppelweg,Doesburg
6982AK,144,,Koppelweg,Doesburg
6982AK,154,,Koppelweg,Doesburg
6982AK,164,,Koppelweg,Doesburg
6982DH,19,,Hyacinthstraat,Doesburg
6982BJ,1,,Iepenstraat,Doesburg
6982BK,6,,Iepenstraat,Doesburg
6982BK,12,,Iepenstraat,Doesburg
6982BJ,17,,Iepenstraat,Doesburg
6982BK,22,,Iepenstraat,Doesburg
6982DS,8,,Irisstraat,Doesburg
6981EK,5,,Juliana van Stolberglaan,Doesburg
6981ER,48,,Julianastraat,Doesburg
6981EN,53,,Julianastraat,Doesburg
6981EN,59,,Julianastraat,Doesburg
6981ES,78,,Julianastraat,Doesburg
6981ES,90,,Julianastraat,Doesburg
6981AV,2,,Korte Koepoortstraat,Doesburg
6981BP,3,,Korte Veerpoortstraat,Doesburg
6981JZ,7,,Ketjenstraat,Doesburg
6982DL,55,,Magnolialaan,Doesburg
6982DN,60,,Magnolialaan,Doesburg
6982DN,66,,Magnolialaan,Doesburg
6982DP,74,,Magnolialaan,Doesburg
6981CG,35,,Kosterstraat,Doesburg
6981CH,8,,Kosterstraat,Doesburg
6981HG,8,1,Kraakselaan,Doesburg
6981HG,8,6,Kraakselaan,Doesburg
6981HG,8,11,Kraakselaan,Doesburg
6981HG,8,17,Kraakselaan,Doesburg
6981HG,8,22,Kraakselaan,Doesburg
6981HB,25,,Kraakselaan,Doesburg
6982CK,8,,Notenstraat,Doesburg
6982CJ,13,,Notenstraat,Doesburg
6982CJ,19,,Notenstraat,Doesburg
6981DZ,4,,Ooipoort,Doesburg
6981DX,9,,Ooipoort,Doesburg
6981DT,51,,Ooipoortstraat,Doesburg
6981DW,59,,Ooipoortstraat,Doesburg
6981DT,59,,Ooipoortstraat,Doesburg
6981DT,67,,Ooipoortstraat,Doesburg
6981DT,75,,Ooipoortstraat,Doesburg
6981GZ,2,,Oranjesingel,Doesburg
6981GZ,8,,Oranjesingel,Doesburg
6981GT,89,,Oranjesingel,Doesburg
6981GT,99,,Oranjesingel,Doesburg
6981GV,109,,Oranjesingel,Doesburg
6981GV,121,,Oranjesingel,Doesburg
6981GV,131,,Oranjesingel,Doesburg
6981GH,27,,Margrietstraat,Doesburg
6981DH,27,,Meipoortstraat,Doesburg
6981DL,36,,Meipoortstraat,Doesburg
6981DJ,41,,Meipoortstraat,Doesburg
6981DL,48,,Meipoortstraat,Doesburg
