101,1442TC,Kolfstraat,Purmerend
60,1448DV,Kabajastraat,Purmerend
13,1445ML,Karosstraat,Purmerend
49,1445MN,Karosstraat,Purmerend
23,1441VA,Klaproos,Purmerend
171,1442TD,Kolfstraat,Purmerend
10,1442VB,Marathonstraat,Purmerend
38,1441TG,Vlasleeuwenbek,Purmerend
43,1441TE,Vlasleeuwenbek,Purmerend
46,1441TH,Vlasleeuwenbek,Purmerend
12,1444HD,W. v.d. Brinkstraat,Purmerend
124,1444HG,W. v.d. Brinkstraat,Purmerend
130,1444HG,W. v.d. Brinkstraat,Purmerend
111,1442LB,Waterlandlaan,Purmerend
111,1441RT,Waterlandlaan,Purmerend
116,1441RW,Waterlandlaan,Purmerend
29,1442SH,Vechtstraat,Purmerend
31,1442SH,Vechtstraat,Purmerend
38,1442SJ,Vechtstraat,Purmerend
8,1441TG,Vlasleeuwenbek,Purmerend
2,1444HD,W. v.d. Brinkstraat,Purmerend
27,1444HB,W. v.d. Brinkstraat,Purmerend
30,1444HD,W. v.d. Brinkstraat,Purmerend
93,1441RS,Waterlandlaan,Purmerend
3,1441RP,Waterlandplein,Purmerend
17,1441LP,Veenmossingel,Purmerend
2,1441LR,Veenmossingel,Purmerend
22,1441LR,Veenmossingel,Purmerend
37,1443AG,Zonnelaan,Purmerend
39,1443AG,Zonnelaan,Purmerend
97,1442CK,Van IJsendijkstraat,Purmerend
99,1442CK,Van IJsendijkstraat,Purmerend
1,1442SH,Vechtstraat,Purmerend
10,1442SJ,Vechtstraat,Purmerend
11,1442SH,Vechtstraat,Purmerend
23,1441TD,Vlasleeuwenbek,Purmerend
24,1441TG,Vlasleeuwenbek,Purmerend
25,1441TD,Vlasleeuwenbek,Purmerend
26,1441TG,Vlasleeuwenbek,Purmerend
28,1441TG,Vlasleeuwenbek,Purmerend
29,1441TE,Vlasleeuwenbek,Purmerend
3,1441TD,Vlasleeuwenbek,Purmerend
30,1441TG,Vlasleeuwenbek,Purmerend
31,1441TE,Vlasleeuwenbek,Purmerend
32,1441TG,Vlasleeuwenbek,Purmerend
33,1441TE,Vlasleeuwenbek,Purmerend
34,1441TG,Vlasleeuwenbek,Purmerend
36,1441TG,Vlasleeuwenbek,Purmerend
39,1441TE,Vlasleeuwenbek,Purmerend
4,1441TG,Vlasleeuwenbek,Purmerend
40,1441TG,Vlasleeuwenbek,Purmerend
41,1441TE,Vlasleeuwenbek,Purmerend
42,1441TG,Vlasleeuwenbek,Purmerend
44,1441TH,Vlasleeuwenbek,Purmerend
45,1441TE,Vlasleeuwenbek,Purmerend
89,1443WH,Vrouwenzandstraat,Purmerend
9,1443WG,Vrouwenzandstraat,Purmerend
91,1443WH,Vrouwenzandstraat,Purmerend
93,1443WH,Vrouwenzandstraat,Purmerend
95,1443WH,Vrouwenzandstraat,Purmerend
97,1443WH,Vrouwenzandstraat,Purmerend
99,1443WH,Vrouwenzandstraat,Purmerend
1,1444HB,W. v.d. Brinkstraat,Purmerend
100,1444HG,W. v.d. Brinkstraat,Purmerend
102,1444HG,W. v.d. Brinkstraat,Purmerend
104,1444HG,W. v.d. Brinkstraat,Purmerend
108,1444HG,W. v.d. Brinkstraat,Purmerend
110,1444HG,W. v.d. Brinkstraat,Purmerend
112,1444HG,W. v.d. Brinkstraat,Purmerend
114,1444HG,W. v.d. Brinkstraat,Purmerend
116,1444HG,W. v.d. Brinkstraat,Purmerend
118,1444HG,W. v.d. Brinkstraat,Purmerend
120,1444HG,W. v.d. Brinkstraat,Purmerend
122,1444HG,W. v.d. Brinkstraat,Purmerend
126,1444HG,W. v.d. Brinkstraat,Purmerend
128,1444HG,W. v.d. Brinkstraat,Purmerend
13,1444HB,W. v.d. Brinkstraat,Purmerend
132,1444HG,W. v.d. Brinkstraat,Purmerend
134,1444HG,W. v.d. Brinkstraat,Purmerend
28,1444VL,Waterhoenhof,Purmerend
22,1443VB,Mercuriusweg,Purmerend
228,1443VH,Mercuriusweg,Purmerend
826,1443CZ,Meteorenweg,Purmerend
838,1443CZ,Meteorenweg,Purmerend
74,1448VG,Mambostraat,Purmerend
84,1448VG,Mambostraat,Purmerend
46,1444VN,Meerkoethof,Purmerend
286,1443VJ,Mercuriusweg,Purmerend
300,1443VJ,Mercuriusweg,Purmerend
880,1443DA,Meteorenweg,Purmerend
890,1443DA,Meteorenweg,Purmerend
9,1443BB,Meteorenweg,Purmerend
21,1445BA,Mandenmakerstraat,Purmerend
27,1445BA,Mandenmakerstraat,Purmerend
24,1447KC,Meerland,Purmerend
360,1443VL,Mercuriusweg,Purmerend
380,1443VL,Mercuriusweg,Purmerend
964,1443DC,Meteorenweg,Purmerend
976,1443DD,Meteorenweg,Purmerend
988,1443DD,Meteorenweg,Purmerend
39,1442DA,Lambertus Huisengastraat,Purmerend
81,1447LB,Lauwersmeer,Purmerend
84,1447LL,Lauwersmeer,Purmerend
89,1447LB,Lauwersmeer,Purmerend
1,1441NN,Lisdoddestraat,Purmerend
59,1446DN,Korenstraat,Purmerend
62,1446DN,Korenstraat,Purmerend
87,1442DA,Lambertus Huisengastraat,Purmerend
95,1442DA,Lambertus Huisengastraat,Purmerend
101,1445SX,Lamoenstraat,Purmerend
104,1445SX,Lamoenstraat,Purmerend
16,1447TT,Leenderbos,Purmerend
21,1447TR,Leenderbos,Purmerend
26,1447TT,Leenderbos,Purmerend
39,1441NN,Lisdoddestraat,Purmerend
43,1441NN,Lisdoddestraat,Purmerend
49,1441NP,Lisdoddestraat,Purmerend
9,1446DL,Korenstraat,Purmerend
98,1446DR,Korenstraat,Purmerend
22,1445SM,Lamoenstraat,Purmerend
25,1445SM,Lamoenstraat,Purmerend
28,1445SN,Lamoenstraat,Purmerend
100,1444HZ,Leeuwerikplein,Purmerend
197,1444XZ,De Roerdomp,Purmerend
201,1444XZ,De Roerdomp,Purmerend
149,1447ZT,Dom Helder Camarastraat,Purmerend
26,1441KL,Hugo de Grootstraat,Purmerend
