8802DL,6,,Duukelaar,Franeker
8851GR,40,,De Buffer,Tzummarum
8855GA,29,,De Tsjerke-ekers,Sexbierum
8801HA,17,,Professor J Bogermanstraat,Franeker
8802DK,15,,Oevergast,Franeker
8802DJ,3,,Severander,Franeker
8802DC,2,,Schepsnavel,Franeker
8802DL,48,,Duukelaar,Franeker
8851GA,19,,Skoalstrjitte,Tzummarum
8851GA,17,,Skoalstrjitte,Tzummarum
8802DL,9,,Duukelaar,Franeker
8802DL,16,,Duukelaar,Franeker
8851EH,65,,Swaerderwei,Tzummarum
8806KT,18,,Dorpsstraat,Achlum
8801HA,19,,Professor J Bogermanstraat,Franeker
8804NA,5,,Franekerweg,Tzum
8801BB,29,,Lycklamastraat,Franeker
8851GR,42,,De Buffer,Tzummarum
8851GR,26,,De Buffer,Tzummarum
8802DJ,7,,Severander,Franeker
8855GA,27,,De Tsjerke-ekers,Sexbierum
8802DJ,9,,Severander,Franeker
8854AS,25,,Konkelswei,Oosterbierum
8802DJ,40,,Severander,Franeker
8804PA,5,,Terpzicht,Tzum
8856BT,7,,Hearewei,Pietersbierum
8801VJ,2,,Jan Bogtstrastraat,Franeker
8854AV,24,,Eilânswei,Oosterbierum
8801PE,18,,Het Hoochhout,Franeker
8806KM,40,,H S Sytstrastrjitte,Achlum
8801KC,36,,Zilverstraat,Franeker
8802XZ,24,,C F Engelhardstraat,Franeker
8801PE,6,,Het Hoochhout,Franeker
8801PP,62,,Frisia,Franeker
8805TK,18,,Ds Dijkstraweg,Hitzum
8802MD,35,,Binnenhof,Franeker
8811HV,14,,Suderom,Ried
8801PD,6,,De Gideon,Franeker
8811HS,7,,Lageweg,Ried
8801PP,52,,Frisia,Franeker
8801XB,3,,Berltsumer Wiid,Franeker
8801XB,5,,Berltsumer Wiid,Franeker
8802LB,7,,Tjotter,Franeker
8801DN,23,,Professor Wassenberghplein,Franeker
8801DS,12,,Professor Wassenberghstraat,Franeker
8804SB,43,,Pastorijleane,Tzum
8802BN,3,,Junobaan,Franeker
8801PP,56,,Frisia,Franeker
8802XZ,14,,C F Engelhardstraat,Franeker
8806KT,6,,Dorpsstraat,Achlum
8801BW,2,,Bloemketerp,Franeker
8802XZ,16,,C F Engelhardstraat,Franeker
8851GR,2,,De Buffer,Tzummarum
8855GA,23,,De Tsjerke-ekers,Sexbierum
8851EG,35,,Swaerderwei,Tzummarum
8801PE,13,,Het Hoochhout,Franeker
8802XZ,26,,C F Engelhardstraat,Franeker
8801BW,4,,Bloemketerp,Franeker
8801PP,9,,Frisia,Franeker
8811HV,8,,Suderom,Ried
8851GR,23,,De Buffer,Tzummarum
8806LA,3,,De Beneysten,Achlum
8851EZ,7,,Spoarstrjitte,Tzummarum
8801PD,2,,De Gideon,Franeker
8801PE,14,,Het Hoochhout,Franeker
8811HS,6,,Lageweg,Ried
8805TK,16,,Ds Dijkstraweg,Hitzum
8801BW,6,,Bloemketerp,Franeker
8811HS,8,,Lageweg,Ried
8801NA,11,,Kelvinstraat,Franeker
8811HV,3,,Suderom,Ried
8807PL,3,,Leane,Herbaijum
8811HS,3,,Lageweg,Ried
8801PE,24,,Het Hoochhout,Franeker
8811HV,9,,Suderom,Ried
8801PE,12,,Het Hoochhout,Franeker
8851GR,5,,De Buffer,Tzummarum
8812JS,2,,Potterslân,Peins
8802BP,2,,Pallasbaan,Franeker
8801PE,2,,Het Hoochhout,Franeker
8808HS,3,,M C Willemsstraat,Dongjum
8855GA,17,,De Tsjerke-ekers,Sexbierum
8855HA,57,,Frjentsjerterein,Sexbierum
8808HS,8,,M C Willemsstraat,Dongjum
8802XZ,20,,C F Engelhardstraat,Franeker
8801PE,4,,Het Hoochhout,Franeker
8851GR,20,,De Buffer,Tzummarum
8855HD,46,,Buorfinneleane,Sexbierum
8811HV,5,,Suderom,Ried
8811HV,12,,Suderom,Ried
8801PP,28,,Frisia,Franeker
8851GR,8,,De Buffer,Tzummarum
8802BP,1,,Pallasbaan,Franeker
8802BP,7,,Pallasbaan,Franeker
8855HS,25,,Pastorijbuorren,Sexbierum
8801PE,10,,Het Hoochhout,Franeker
8801PP,34,,Frisia,Franeker
8802DD,16,,Maanvogel,Franeker
8804RP,70,,Dekemastraat,Tzum
8804RP,58,,Dekemastraat,Tzum
8804RP,60,,Dekemastraat,Tzum
8804RP,66,,Dekemastraat,Tzum
8801PG,12,,Burgemeester J Dijkstraweg,Franeker
8804RP,56,,Dekemastraat,Tzum
8804RP,36,,Dekemastraat,Tzum
8804RP,38,,Dekemastraat,Tzum
8804RP,44,,Dekemastraat,Tzum
8804RP,52,,Dekemastraat,Tzum
8804RP,54,,Dekemastraat,Tzum
8804RP,68,,Dekemastraat,Tzum
8802DC,23,,Schepsnavel,Franeker
8802BN,5,,Junobaan,Franeker
8802BN,7,,Junobaan,Franeker
8811HV,2,,Suderom,Ried
8802DG,6,,Waloen,Franeker
8801LA,39,,Voorstraat,Franeker
8801LE,68,,Voorstraat,Franeker
8801KZ,15,,Voorstraat,Franeker
8851EG,47,,Swaerderwei,Tzummarum
8802XZ,18,,C F Engelhardstraat,Franeker
8802DE,8,,Watersnater,Franeker
8851GR,14,,De Buffer,Tzummarum
8801PP,58,,Frisia,Franeker
8802DD,14,,Maanvogel,Franeker
8802DB,23,,Sneeuwvlerk,Franeker
8802DB,24,,Sneeuwvlerk,Franeker
8801PG,3,08,Burgemeester J Dijkstraweg,Franeker
8806KT,10,,Dorpsstraat,Achlum
8804RP,78,,Dekemastraat,Tzum
8802DA,4,,Snepper,Franeker
8851GR,16,,De Buffer,Tzummarum
8802DB,21,,Sneeuwvlerk,Franeker
8802DH,4,,Windzwever,Franeker
8802DD,8,,Maanvogel,Franeker
8804RP,80,,Dekemastraat,Tzum
8802DE,9,,Watersnater,Franeker
8802ZP,18,,Waling Dijkstrastrjitte,Franeker
8802DG,1,,Waloen,Franeker
8802BN,6,,Junobaan,Franeker
8802DH,8,,Windzwever,Franeker
8802DH,12,,Windzwever,Franeker
8802ZP,16,,Waling Dijkstrastrjitte,Franeker
8851GR,19,,De Buffer,Tzummarum
8802DA,9,,Snepper,Franeker
8801GD,2,,Titia Bogardastraat,Franeker
8802DA,13,,Snepper,Franeker
8802DA,3,,Snepper,Franeker
8802DA,5,,Snepper,Franeker
8802DD,12,,Maanvogel,Franeker
8802DA,12,,Snepper,Franeker
8802DH,10,,Windzwever,Franeker
8855HS,32,,Pastorijbuorren,Sexbierum
8802DE,7,,Watersnater,Franeker
8801GD,4,,Titia Bogardastraat,Franeker
8802DG,3,,Waloen,Franeker
8802DG,7,,Waloen,Franeker
8802DB,5,,Sneeuwvlerk,Franeker
8802DB,22,,Sneeuwvlerk,Franeker
8802DC,7,,Schepsnavel,Franeker
8802DE,6,,Watersnater,Franeker
8851GR,13,,De Buffer,Tzummarum
8802DA,8,,Snepper,Franeker
8802DC,13,,Schepsnavel,Franeker
8802DB,20,,Sneeuwvlerk,Franeker
8802DB,11,,Sneeuwvlerk,Franeker
8802DB,7,,Sneeuwvlerk,Franeker
8802DA,7,,Snepper,Franeker
8802DH,6,,Windzwever,Franeker
8801GD,8,,Titia Bogardastraat,Franeker
8851GR,11,,De Buffer,Tzummarum
8802BP,3,,Pallasbaan,Franeker
8802DE,3,,Watersnater,Franeker
8802BN,12,,Junobaan,Franeker
8801GD,10,,Titia Bogardastraat,Franeker
8802DG,9,,Waloen,Franeker
8802DA,19,,Snepper,Franeker
8802DA,21,,Snepper,Franeker
8802DE,4,,Watersnater,Franeker
8801GD,1,,Titia Bogardastraat,Franeker
8802DG,8,,Waloen,Franeker
8802DH,2,,Windzwever,Franeker
8802DD,10,,Maanvogel,Franeker
8851EK,6,,Nij Bethanië,Tzummarum
8851EK,22,,Nij Bethanië,Tzummarum
8851GH,17,,Sinaedawei,Tzummarum
8802DB,19,,Sneeuwvlerk,Franeker
8802DB,4,,Sneeuwvlerk,Franeker
8802DB,8,,Sneeuwvlerk,Franeker
8851GR,10,,De Buffer,Tzummarum
8801GD,3,,Titia Bogardastraat,Franeker
8802DC,21,,Schepsnavel,Franeker
8802DC,17,,Schepsnavel,Franeker
8802DC,15,,Schepsnavel,Franeker
8802DB,6,,Sneeuwvlerk,Franeker
8851EG,31,,Swaerderwei,Tzummarum
8802BP,5,,Pallasbaan,Franeker
8802DE,1,,Watersnater,Franeker
8802BR,2,,Ceresbaan,Franeker
8801GD,5,,Titia Bogardastraat,Franeker
8802BR,4,,Ceresbaan,Franeker
8802DC,19,,Schepsnavel,Franeker
8802DC,11,,Schepsnavel,Franeker
8802DD,6,,Maanvogel,Franeker
8802BR,6,,Ceresbaan,Franeker
8802DC,12,,Schepsnavel,Franeker
8802DB,12,,Sneeuwvlerk,Franeker
8806KT,12,,Dorpsstraat,Achlum
8801GD,7,,Titia Bogardastraat,Franeker
8802DE,12,,Watersnater,Franeker
8802DC,10,,Schepsnavel,Franeker
8802BR,8,,Ceresbaan,Franeker
8802DC,6,,Schepsnavel,Franeker
8801BD,16,,Klaarkampstraat,Franeker
8801BD,30,,Klaarkampstraat,Franeker
8801BD,18,,Klaarkampstraat,Franeker
8801BD,14,,Klaarkampstraat,Franeker
8802DC,8,,Schepsnavel,Franeker
8801GD,9,,Titia Bogardastraat,Franeker
8801BD,28,,Klaarkampstraat,Franeker
8802DB,10,,Sneeuwvlerk,Franeker
8802PV,8,,Het Want,Franeker
8802BR,20,,Ceresbaan,Franeker
8802DD,4,,Maanvogel,Franeker
8802DC,4,,Schepsnavel,Franeker
8801BD,4,,Klaarkampstraat,Franeker
8801BD,36,,Klaarkampstraat,Franeker
8801EV,17,,Noorderbleek,Franeker
8802MD,3,,Binnenhof,Franeker
8855GA,12,,De Tsjerke-ekers,Sexbierum
8801EV,19,,Noorderbleek,Franeker
8801PP,36,,Frisia,Franeker
8851RH,17,,Sytzamaleane,Tzummarum
8802MD,5,,Binnenhof,Franeker
8855GA,10,,De Tsjerke-ekers,Sexbierum
8806KM,31,,H S Sytstrastrjitte,Achlum
8801JB,3,,Zuidelijke Industrieweg,Franeker
8801PN,25,,Edisonstraat,Franeker
8802MD,7,,Binnenhof,Franeker
8801PN,15,,Edisonstraat,Franeker
8801PE,5,,Het Hoochhout,Franeker
8801JT,12,,Jan Stapertlaan,Franeker
8855GA,15,,De Tsjerke-ekers,Sexbierum
8801PP,50,,Frisia,Franeker
8802BG,7,,Neptunusbaan,Franeker
8855GA,14,,De Tsjerke-ekers,Sexbierum
8801PE,22,,Het Hoochhout,Franeker
8802BL,11,,Meteoorbaan,Franeker
8805TK,6,,Ds Dijkstraweg,Hitzum
8802MD,11,,Binnenhof,Franeker
8808HS,10,,M C Willemsstraat,Dongjum
8802BA,6,,Marsbaan,Franeker
8802BM,3,,Plutobaan,Franeker
8851ER,56,,Lytse Buorren,Tzummarum
8802CA,7,,Prins Bernhardlaan,Franeker
8851EE,1,,Master Abel Zuurstrjitte,Tzummarum
8801AR,7,,Prins Willem de Zwijgerlaan,Franeker
8801VH,23,,Jan Bogtstrastraat,Franeker
8802BX,8,,Lou Seerdenlaan,Franeker
8802BX,10,,Lou Seerdenlaan,Franeker
8802BX,2,,Lou Seerdenlaan,Franeker
8802BX,4,,Lou Seerdenlaan,Franeker
8802BX,6,,Lou Seerdenlaan,Franeker
8802BV,2,,Klaas de Jagerlaan,Franeker
8802BV,6,,Klaas de Jagerlaan,Franeker
8802BV,8,,Klaas de Jagerlaan,Franeker
8802BV,10,,Klaas de Jagerlaan,Franeker
8801VH,25,,Jan Bogtstrastraat,Franeker
8802BV,12,,Klaas de Jagerlaan,Franeker
8802BV,18,,Klaas de Jagerlaan,Franeker
8802BX,12,,Lou Seerdenlaan,Franeker
8802BX,14,,Lou Seerdenlaan,Franeker
8802BX,16,,Lou Seerdenlaan,Franeker
8802BX,18,,Lou Seerdenlaan,Franeker
8802BX,20,,Lou Seerdenlaan,Franeker
8802BX,22,,Lou Seerdenlaan,Franeker
8801VH,27,,Jan Bogtstrastraat,Franeker
8802BX,24,,Lou Seerdenlaan,Franeker
8802BX,26,,Lou Seerdenlaan,Franeker
8802BX,28,,Lou Seerdenlaan,Franeker
8802BX,30,,Lou Seerdenlaan,Franeker
8802BX,32,,Lou Seerdenlaan,Franeker
8802BX,34,,Lou Seerdenlaan,Franeker
8802BV,1,,Klaas de Jagerlaan,Franeker
8802BV,3,,Klaas de Jagerlaan,Franeker
8802BV,5,,Klaas de Jagerlaan,Franeker
8802BV,7,,Klaas de Jagerlaan,Franeker
8806KT,5,,Dorpsstraat,Achlum
8802BV,9,,Klaas de Jagerlaan,Franeker
8802BV,11,,Klaas de Jagerlaan,Franeker
8802BV,13,,Klaas de Jagerlaan,Franeker
8802BV,15,,Klaas de Jagerlaan,Franeker
8802BV,21,,Klaas de Jagerlaan,Franeker
8855GB,2,,Bjirmenstate,Sexbierum
8855GB,4,,Bjirmenstate,Sexbierum
8855GB,6,,Bjirmenstate,Sexbierum
8801PG,11,,Burgemeester J Dijkstraweg,Franeker
8855GB,10,,Bjirmenstate,Sexbierum
8855GB,12,,Bjirmenstate,Sexbierum
8855GB,14,,Bjirmenstate,Sexbierum
