11,1486MR,Cornelis Blaauwstraat,West-Graftdijk
7,1484EM,Raadhuisstraat,Graft
9,1484EM,Raadhuisstraat,Graft
10,1484EM,Raadhuisstraat,Graft
13,1484EM,Raadhuisstraat,Graft
17,1484EN,Raadhuisstraat,Graft
19,1484EN,Raadhuisstraat,Graft
20,1484EN,Raadhuisstraat,Graft
21,1484EN,Raadhuisstraat,Graft
22,1484EN,Raadhuisstraat,Graft
24,1484EN,Raadhuisstraat,Graft
25,1484EN,Raadhuisstraat,Graft
27,1484EN,Raadhuisstraat,Graft
30,1484EP,Raadhuisstraat,Graft
31,1484EN,Raadhuisstraat,Graft
34,1484EP,Raadhuisstraat,Graft
45,1484EP,Raadhuisstraat,Graft
47,1484EP,Raadhuisstraat,Graft
51,1484EP,Raadhuisstraat,Graft
2,1483BD,Rechtestraat,De Rijp
3,1483BA,Rechtestraat,De Rijp
4,1483BD,Rechtestraat,De Rijp
6,1483BD,Rechtestraat,De Rijp
7,1483BA,Rechtestraat,De Rijp
8,1483BD,Rechtestraat,De Rijp
9,1483BA,Rechtestraat,De Rijp
12,1483BD,Rechtestraat,De Rijp
17,1483BA,Rechtestraat,De Rijp
20,1483BD,Rechtestraat,De Rijp
21,1483BA,Rechtestraat,De Rijp
25,1483BA,Rechtestraat,De Rijp
27,1483BA,Rechtestraat,De Rijp
28,1483BD,Rechtestraat,De Rijp
29,1483BA,Rechtestraat,De Rijp
31,1483BA,Rechtestraat,De Rijp
32,1483BD,Rechtestraat,De Rijp
8,1486ND,Burg. Van Staverenstraat,West-Graftdijk
24,1486MT,Burgemeester Dalenbergstraat,West-Graftdijk
67,1483XS,Driekoningenhof,De Rijp
43,1483CJ,Fluytschip,De Rijp
11,1483AH,Kralingergracht,De Rijp
1,1483BX,Lievelandsbuurt,De Rijp
23,1483CA,Marten Michielshof,De Rijp
57,1486MZ,Noorderstraat,West-Graftdijk
11,1486MP,Pieter Pieterzoon Kroonstraat,West-Graftdijk
16,1483VA,Willem Pzn. Lakemanstraat,De Rijp
7,1483AS,Sint Jacobsbuurt,De Rijp
13,1483AS,Sint Jacobsbuurt,De Rijp
6,1486MV,Sluiskade,West-Graftdijk
8,1486MV,Sluiskade,West-Graftdijk
9,1486MV,Sluiskade,West-Graftdijk
11,1486MV,Sluiskade,West-Graftdijk
12,1486MV,Sluiskade,West-Graftdijk
14,1486MV,Sluiskade,West-Graftdijk
1,1483BT,Snorderspad,De Rijp
2,1488AG,Starnmeerdijk,Starnmeer
5,1488AG,Starnmeerdijk,Starnmeer
6,1488AG,Starnmeerdijk,Starnmeer
9,1488AG,Starnmeerdijk,Starnmeer
11,1488AG,Starnmeerdijk,Starnmeer
12,1488AG,Starnmeerdijk,Starnmeer
34,1488AJ,Starnmeerdijk,Starnmeer
35,1488AJ,Starnmeerdijk,Starnmeer
36,1488AJ,Starnmeerdijk,Starnmeer
37,1488AJ,Starnmeerdijk,Starnmeer
39,1488AJ,Starnmeerdijk,Starnmeer
2,1483AG,'t Achterom,De Rijp
3,1483AG,'t Achterom,De Rijp
4,1483AG,'t Achterom,De Rijp
2,1483WE,Tjalk,De Rijp
4,1483WE,Tjalk,De Rijp
5,1483WD,Tjalk,De Rijp
6,1483WE,Tjalk,De Rijp
10,1483WE,Tjalk,De Rijp
12,1483WE,Tjalk,De Rijp
13,1483WD,Tjalk,De Rijp
15,1483WD,Tjalk,De Rijp
1,1483AP,Tuingracht,De Rijp
4,1483AP,Tuingracht,De Rijp
5,1483AP,Tuingracht,De Rijp
7,1483AP,Tuingracht,De Rijp
10,1483AP,Tuingracht,De Rijp
11,1483AP,Tuingracht,De Rijp
13,1483AP,Tuingracht,De Rijp
14,1483AP,Tuingracht,De Rijp
17,1483AP,Tuingracht,De Rijp
18,1483AR,Tuingracht,De Rijp
19,1483AR,Tuingracht,De Rijp
21,1483AR,Tuingracht,De Rijp
26,1483AR,Tuingracht,De Rijp
27,1483AR,Tuingracht,De Rijp
29,1483AR,Tuingracht,De Rijp
32,1483AR,Tuingracht,De Rijp
34,1483AR,Tuingracht,De Rijp
9,1483XJ,Wevershof,De Rijp
14,1483XJ,Wevershof,De Rijp
16,1483XJ,Wevershof,De Rijp
22,1483XJ,Wevershof,De Rijp
24,1483XK,Wevershof,De Rijp
26,1483XK,Wevershof,De Rijp
27,1483XK,Wevershof,De Rijp
28,1483XK,Wevershof,De Rijp
73,1486MK,Zuiderstraat,West-Graftdijk
85,1486ML,Zuiderstraat,West-Graftdijk
86,1486MK,Zuiderstraat,West-Graftdijk
87,1486ML,Zuiderstraat,West-Graftdijk
90,1486MK,Zuiderstraat,West-Graftdijk
96,1486ML,Zuiderstraat,West-Graftdijk
103,1486ML,Zuiderstraat,West-Graftdijk
107,1486ML,Zuiderstraat,West-Graftdijk
113,1486ML,Zuiderstraat,West-Graftdijk
117,1486ML,Zuiderstraat,West-Graftdijk
9,1483GE,G.G. Schipperstraat,De Rijp
1,1488AC,Damkensvoetpad,Starnmeer
32,1483XK,Wevershof,De Rijp
33,1483XK,Wevershof,De Rijp
34,1483XK,Wevershof,De Rijp
36,1483XK,Wevershof,De Rijp
40,1483XK,Wevershof,De Rijp
42,1483XK,Wevershof,De Rijp
45,1483XL,Wevershof,De Rijp
46,1483XL,Wevershof,De Rijp
48,1483XL,Wevershof,De Rijp
49,1483XL,Wevershof,De Rijp
50,1483XL,Wevershof,De Rijp
51,1483XL,Wevershof,De Rijp
52,1483XL,Wevershof,De Rijp
54,1483XL,Wevershof,De Rijp
55,1483XL,Wevershof,De Rijp
56,1483XL,Wevershof,De Rijp
59,1483XL,Wevershof,De Rijp
70,1483XM,Wevershof,De Rijp
72,1483XM,Wevershof,De Rijp
73,1483XM,Wevershof,De Rijp
76,1483XM,Wevershof,De Rijp
77,1483XM,Wevershof,De Rijp
79,1483XM,Wevershof,De Rijp
81,1483XM,Wevershof,De Rijp
4,1483VA,Willem Pzn. Lakemanstraat,De Rijp
5,1483VA,Willem Pzn. Lakemanstraat,De Rijp
6,1483VA,Willem Pzn. Lakemanstraat,De Rijp
9,1483VA,Willem Pzn. Lakemanstraat,De Rijp
13,1483VA,Willem Pzn. Lakemanstraat,De Rijp
14,1483VA,Willem Pzn. Lakemanstraat,De Rijp
17,1483VA,Willem Pzn. Lakemanstraat,De Rijp
18,1483VA,Willem Pzn. Lakemanstraat,De Rijp
2,1483WG,Wollandje,De Rijp
3,1483WG,Wollandje,De Rijp
3,1483MA,Zuiddijk,De Rijp
6,1483MA,Zuiddijk,De Rijp
7,1483MA,Zuiddijk,De Rijp
22,1483MA,Zuiddijk,De Rijp
32,1483MA,Zuiddijk,De Rijp
34,1483MA,Zuiddijk,De Rijp
40,1483MA,Zuiddijk,De Rijp
42,1483MA,Zuiddijk,De Rijp
2,1483BZ,Zuideinde,De Rijp
3,1483BZ,Zuideinde,De Rijp
5,1483BZ,Zuideinde,De Rijp
15,1483BZ,Zuideinde,De Rijp
21,1483BZ,Zuideinde,De Rijp
23,1483BZ,Zuideinde,De Rijp
29,1483BZ,Zuideinde,De Rijp
33,1483BZ,Zuideinde,De Rijp
35,1483BZ,Zuideinde,De Rijp
37,1483BZ,Zuideinde,De Rijp
43,1483BZ,Zuideinde,De Rijp
45,1483BZ,Zuideinde,De Rijp
5,1486MJ,Zuiderstraat,West-Graftdijk
11,1486MJ,Zuiderstraat,West-Graftdijk
12,1486MJ,Zuiderstraat,West-Graftdijk
14,1486MJ,Zuiderstraat,West-Graftdijk
15,1486MJ,Zuiderstraat,West-Graftdijk
47,1486MK,Zuiderstraat,West-Graftdijk
55,1486MK,Zuiderstraat,West-Graftdijk
61,1486MK,Zuiderstraat,West-Graftdijk
63,1486MK,Zuiderstraat,West-Graftdijk
70,1486MK,Zuiderstraat,West-Graftdijk
4,1488AC,Damkensvoetpad,Starnmeer
5,1483VB,Auwel Pzn. Prinsstraat,De Rijp
16,1483XD,Bellesloot,De Rijp
28,1483TJ,Boeijerstraat,De Rijp
15,1486NE,Burg. Romijnstraat,West-Graftdijk
49,1483XG,Heikeshof,De Rijp
28,1483TB,Aggelenstraat,De Rijp
6,1486NG,Burg. Romijnstraat,West-Graftdijk
35,1484EK,Dorpsstraat,Graft
54,1484EL,Dorpsstraat,Graft
32,1484EX,De Vleet,Graft
7,1483VT,De Dillenburg,De Rijp
22,1484ED,Grafterbaan,Graft
38,1486MT,Burgemeester Dalenbergstraat,West-Graftdijk
133,1483VJ,Julianalaan,De Rijp
41,1483GA,De Volger,De Rijp
21,1536AD,Dorpsstraat,Markenbinnen
116,1483CW,Haringbuis,De Rijp
35,1483XP,Driekoningenhof,De Rijp
1,1484PB,Dwarsweg,Graft
55,1483CJ,Fluytschip,De Rijp
22,1483XE,Heikeshof,De Rijp
8,1483BN,Kerkstraat,De Rijp
20,1483TW,Klipper,De Rijp
82,1483TX,Klipper,De Rijp
62,1483XH,Heikeshof,De Rijp
10,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
47,1483VG,Julianalaan,De Rijp
14,1484EH,Kromme Horn,Graft
18,1483AD,Oosteinde,De Rijp
6,1484EE,Mieuwijdt,Graft
12,1483GB,M.C. van Voordenstraat,De Rijp
57,1483CB,Marten Michielshof,De Rijp
44,1487MC,Oostgraftdijk,Oost-Graftdijk
105,1487MD,Oostgraftdijk,Oost-Graftdijk
46,1486MX,Noorderstraat,West-Graftdijk
52,1483BE,Rechtestraat,De Rijp
30,1483EB,Westeinde,De Rijp
2,1483AN,Rolderspad,De Rijp
12,1487MB,Oostgraftdijk,Oost-Graftdijk
152,1483BH,Rechtestraat,De Rijp
10,1486PD,Oudelandsdijkje,West-Graftdijk
43,1484EP,Raadhuisstraat,Graft
30,1483XP,Driekoningenhof,De Rijp
5,1486MV,Sluiskade,West-Graftdijk
21,1483XJ,Wevershof,De Rijp
68,1483XM,Wevershof,De Rijp
14,1483MA,Zuiddijk,De Rijp
45,1486MK,Zuiderstraat,West-Graftdijk
19,1484EJ,Dorpsstraat,Graft
19,1536AD,Dorpsstraat,Markenbinnen
20,1484EJ,Dorpsstraat,Graft
108,1483CW,Haringbuis,De Rijp
115,1483CS,Haringbuis,De Rijp
25,1483XP,Driekoningenhof,De Rijp
28,1483XP,Driekoningenhof,De Rijp
33,1483XP,Driekoningenhof,De Rijp
34,1483XP,Driekoningenhof,De Rijp
2,1483WC,Driemaster,De Rijp
3,1483WB,Driemaster,De Rijp
9,1483WB,Driemaster,De Rijp
50,1483CL,Fluytschip,De Rijp
53,1483CJ,Fluytschip,De Rijp
17,1483XE,Heikeshof,De Rijp
18,1483XE,Heikeshof,De Rijp
19,1483XE,Heikeshof,De Rijp
21,1483XE,Heikeshof,De Rijp
3,1483BM,Kerkstraat,De Rijp
4,1483BN,Kerkstraat,De Rijp
13,1483TS,Klipper,De Rijp
16,1483TW,Klipper,De Rijp
21,1484EC,Grafterbaan,Graft
25,1484EC,Grafterbaan,Graft
8,1484ED,Grafterbaan,Graft
67,1483VG,Julianalaan,De Rijp
8,1483VN,Margrietstraat,De Rijp
11,1483CA,Marten Michielshof,De Rijp
19,1483CA,Marten Michielshof,De Rijp
33,1483CB,Marten Michielshof,De Rijp
18,1483TE,Morgenstraat,De Rijp
9,1483TD,Morgenstraat,De Rijp
19,1483AC,Oosteinde,De Rijp
5,1483AM,Oosterpark,De Rijp
26,1483BD,Rechtestraat,De Rijp
39,1483BB,Rechtestraat,De Rijp
79,1483BC,Rechtestraat,De Rijp
94,1483BE,Rechtestraat,De Rijp
9,1483AP,Tuingracht,De Rijp
11,1483BV,Venbuurt,De Rijp
2,1483BV,Venbuurt,De Rijp
60,1483XM,Wevershof,De Rijp
17,1483CH,Fluytschip,De Rijp
132,1483CW,Haringbuis,De Rijp
27,1536AL,Bongerdstraat,Markenbinnen
60,1483BE,Rechtestraat,De Rijp
18,1483MA,Zuiddijk,De Rijp
10,1484ER,Oostwijk,Graft
8,1484ET,C.J. Allertshof,Graft
91,1483XC,Bellesloot,De Rijp
56,1483TV,Klipper,De Rijp
14,1483BR,Nieuwland,De Rijp
28,1486MT,Burgemeester Dalenbergstraat,West-Graftdijk
52,1536AH,Dorpsstraat,Markenbinnen
32,1483TN,Galjoen,De Rijp
30,1483TE,Morgenstraat,De Rijp
29,1483BM,Kerkstraat,De Rijp
17,1483TS,Klipper,De Rijp
18,1483TW,Klipper,De Rijp
70,1483TV,Klipper,De Rijp
72,1483TV,Klipper,De Rijp
76,1483TX,Klipper,De Rijp
80,1483TX,Klipper,De Rijp
51,1483XG,Heikeshof,De Rijp
53,1483XH,Heikeshof,De Rijp
56,1483XH,Heikeshof,De Rijp
57,1483XH,Heikeshof,De Rijp
5,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
8,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
9,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
37,1483VE,Julianalaan,De Rijp
39,1483VG,Julianalaan,De Rijp
44,1483VL,Julianalaan,De Rijp
45,1483VG,Julianalaan,De Rijp
16,1483AH,Kralingergracht,De Rijp
1,1484EG,Kromme Horn,Graft
2,1484EH,Kromme Horn,Graft
3,1484EG,Kromme Horn,Graft
13,1483AB,Oosteinde,De Rijp
15,1483AB,Oosteinde,De Rijp
16,1483AD,Oosteinde,De Rijp
17,1483AC,Oosteinde,De Rijp
38,1484EK,Dorpsstraat,Graft
78,1487MD,Oostgraftdijk,Oost-Graftdijk
40,1488AL,Middelweg,Starnmeer
38,1488AJ,Starnmeerdijk,Starnmeer
3,1488AG,Starnmeerdijk,Starnmeer
1,1486MT,Burgemeester Dalenbergstraat,West-Graftdijk
48,1486MT,Burgemeester Dalenbergstraat,West-Graftdijk
10,1486MS,De Moor,West-Graftdijk
9,1486MS,De Moor,West-Graftdijk
1,1486ML,Graftdijkplein,West-Graftdijk
1,1486MX,Noorderstraat,West-Graftdijk
13,1486MD,Oude Werf,West-Graftdijk
15,1486MD,Oude Werf,West-Graftdijk
17,1486MD,Oude Werf,West-Graftdijk
15,1484EM,Raadhuisstraat,Graft
1,1483XA,Bellesloot,De Rijp
18,1488AB,Kogerpolder,Starnmeer
38,1486NH,Burg. Romijnstraat,West-Graftdijk
48,1483TC,Aggelenstraat,De Rijp
53,1483VG,Julianalaan,De Rijp
31,1483XP,Driekoningenhof,De Rijp
12,1484EM,Raadhuisstraat,Graft
132,1483TL,Boeijerstraat,De Rijp
115,1486ML,Zuiderstraat,West-Graftdijk
12,1536AG,Dorpsstraat,Markenbinnen
5,1483AB,Oosteinde,De Rijp
154,1483BH,Rechtestraat,De Rijp
63,1483XM,Wevershof,De Rijp
122,1483TL,Boeijerstraat,De Rijp
8,1483VP,Oranjestraat,De Rijp
14,1483VC,Leeghwaterstraat,De Rijp
2,1483BX,Lievelandsbuurt,De Rijp
38,1488AL,Middelweg,Starnmeer
2,1483GB,M.C. van Voordenstraat,De Rijp
8,1483GB,M.C. van Voordenstraat,De Rijp
10,1483GB,M.C. van Voordenstraat,De Rijp
