2311CX,142,,Breestraat,Leiden
2311CX,144,,Breestraat,Leiden
2311CX,146,,Breestraat,Leiden
2311CX,148,,Breestraat,Leiden
2311CN,149,,Breestraat,Leiden
2311CN,155,,Breestraat,Leiden
2311CN,159,,Breestraat,Leiden
2311CP,167,,Breestraat,Leiden
2318TJ,8,,Broekplein,Leiden
2313HR,177,,Burggravenlaan,Leiden
2312JR,9,,Burgsteeg,Leiden
2313KC,20,,Cobetstraat,Leiden
2313KB,93,,Cobetstraat,Leiden
2313PX,23,,Colenbranderstraat,Leiden
2313PX,25,,Colenbranderstraat,Leiden
2313PX,26,,Colenbranderstraat,Leiden
2312AZ,302,,Morssingel,Leiden
2312AZ,304,,Morssingel,Leiden
2312AZ,306,,Morssingel,Leiden
2312BK,13,,Morsstraat,Leiden
2312BK,25,,Morsstraat,Leiden
2312BK,27,,Morsstraat,Leiden
2312BK,29,,Morsstraat,Leiden
2312BN,60,,Morsstraat,Leiden
2324XT,177,,Mozartstraat,Leiden
2324XV,273,,Mozartstraat,Leiden
2324XV,275,,Mozartstraat,Leiden
2324XV,277,,Mozartstraat,Leiden
2324XV,279,,Mozartstraat,Leiden
2324XV,281,,Mozartstraat,Leiden
2312CH,18,,Nieuwe Beestenmarkt,Leiden
2312CG,21,,Nieuwe Beestenmarkt,Leiden
2312JK,81,,Nieuwe Rijn,Leiden
2311RZ,37,,Nieuwsteeg,Leiden
2311CA,25,,Noordeinde,Leiden
2311CE,34,,Noordeinde,Leiden
2311CB,41,,Noordeinde,Leiden
2334BZ,9,,Oegstgeesterweg,Leiden
2334BZ,11,,Oegstgeesterweg,Leiden
2334BZ,13,,Oegstgeesterweg,Leiden
2334BZ,15,,Oegstgeesterweg,Leiden
2334BZ,17,,Oegstgeesterweg,Leiden
2315LD,17,,Oosterstraat,Leiden
2313JE,10,,Oppenheimstraat,Leiden
2313JE,12,,Oppenheimstraat,Leiden
2316HT,43,,Oranjestraat,Leiden
2316PM,71,,Sophiastraat,Leiden
2312HB,19,,Oude Rijn,Leiden
2312HG,38,,Oude Rijn,Leiden
