45,8225AV,Wold 20,Lelystad
20,8223DM,Zwartewater,Lelystad
21,8223DN,Zwartewater,Lelystad
22,8223DN,Zwartewater,Lelystad
28,8223DN,Zwartewater,Lelystad
29,8223DN,Zwartewater,Lelystad
10,8223DM,Zwartewater,Lelystad
11,8223DM,Zwartewater,Lelystad
14,8223DM,Zwartewater,Lelystad
17,8223DM,Zwartewater,Lelystad
18,8223DM,Zwartewater,Lelystad
50,8224EH,Westkaap,Lelystad
158,8232VT,Stationsplein,Lelystad
172,8232VT,Stationsplein,Lelystad
100,8232VS,Reaalhof,Lelystad
183,8241AE,Golfpark,Lelystad
6,8244AG,Binnendijk,Lelystad
42,8244AG,Binnendijk,Lelystad
54,8244AH,Binnendijk,Lelystad
66,8244AH,Binnendijk,Lelystad
74,8244AH,Binnendijk,Lelystad
185,8241AE,Golfpark,Lelystad
23,8232VP,Kroonpassage,Lelystad
54,8225NX,Horst 37,Lelystad
29,8232VP,Kroonpassage,Lelystad
182,8232VT,Stationsplein,Lelystad
27,8232VP,Kroonpassage,Lelystad
19,8232VP,Kroonpassage,Lelystad
55,8232XK,Schouw 54,Lelystad
43,8232VT,Stationsplein,Lelystad
44,8232VT,Stationsplein,Lelystad
50,8232VT,Stationsplein,Lelystad
63,8232VT,Stationsplein,Lelystad
66,8232VT,Stationsplein,Lelystad
74,8232VT,Stationsplein,Lelystad
81,8232VT,Stationsplein,Lelystad
85,8232VT,Stationsplein,Lelystad
96,8232VT,Stationsplein,Lelystad
40,8243RD,Bolderweg,Lelystad
48,8243PZ,Zuiveringweg,Lelystad
50,8243PZ,Zuiveringweg,Lelystad
5,8232JN,Botter 11,Lelystad
3,8218PC,Emoeweg,Lelystad
50,8243VV,Schoener 30,Lelystad
6,8242JL,Eendragt,Lelystad
11,8224EE,Westkaap,Lelystad
3,8226EE,Hollands Diepstraat,Lelystad
1,8226EE,Hollands Diepstraat,Lelystad
69,8226DK,Vloedstraat,Lelystad
71,8226DK,Vloedstraat,Lelystad
4,8226EE,Hollands Diepstraat,Lelystad
6,8226EE,Hollands Diepstraat,Lelystad
53,8226EG,Hollands Diepstraat,Lelystad
51,8226EG,Hollands Diepstraat,Lelystad
45,8226EG,Hollands Diepstraat,Lelystad
43,8226EG,Hollands Diepstraat,Lelystad
63,8226DK,Vloedstraat,Lelystad
17,8225NK,Horst 30,Lelystad
33,8226EG,Hollands Diepstraat,Lelystad
31,8226EG,Hollands Diepstraat,Lelystad
27,8226EG,Hollands Diepstraat,Lelystad
82,8226EC,Biesbosstraat,Lelystad
36,8226EB,Biesbosstraat,Lelystad
40,8226EB,Biesbosstraat,Lelystad
42,8226EB,Biesbosstraat,Lelystad
44,8226EB,Biesbosstraat,Lelystad
61,8226DK,Vloedstraat,Lelystad
21,8225NK,Horst 30,Lelystad
78,8226EC,Biesbosstraat,Lelystad
80,8226EC,Biesbosstraat,Lelystad
103,8226ED,Biesbosstraat,Lelystad
101,8226ED,Biesbosstraat,Lelystad
97,8226ED,Biesbosstraat,Lelystad
95,8226ED,Biesbosstraat,Lelystad
2,8226EA,Biesbosstraat,Lelystad
149,8226LJ,Rivierenlaan,Lelystad
6,8226EA,Biesbosstraat,Lelystad
27,8225NK,Horst 30,Lelystad
10,8226EA,Biesbosstraat,Lelystad
12,8226EA,Biesbosstraat,Lelystad
60,8226EC,Biesbosstraat,Lelystad
107,8226ED,Biesbosstraat,Lelystad
105,8226ED,Biesbosstraat,Lelystad
65,8226EC,Biesbosstraat,Lelystad
61,8226EC,Biesbosstraat,Lelystad
70,8226EC,Biesbosstraat,Lelystad
68,8226EC,Biesbosstraat,Lelystad
29,8225NK,Horst 30,Lelystad
64,8226EC,Biesbosstraat,Lelystad
62,8226EC,Biesbosstraat,Lelystad
48,8226EC,Biesbosstraat,Lelystad
73,8226EC,Biesbosstraat,Lelystad
71,8226EC,Biesbosstraat,Lelystad
53,8226EB,Biesbosstraat,Lelystad
51,8226EB,Biesbosstraat,Lelystad
49,8226EB,Biesbosstraat,Lelystad
58,8226EC,Biesbosstraat,Lelystad
56,8226EC,Biesbosstraat,Lelystad
54,8226EC,Biesbosstraat,Lelystad
52,8226EC,Biesbosstraat,Lelystad
22,8226EB,Biesbosstraat,Lelystad
16,8226EB,Biesbosstraat,Lelystad
59,8226EB,Biesbosstraat,Lelystad
55,8226EB,Biesbosstraat,Lelystad
21,8226EA,Biesbosstraat,Lelystad
19,8226EA,Biesbosstraat,Lelystad
24,8226EB,Biesbosstraat,Lelystad
3,8226ER,Voorstraat,Lelystad
5,8226ER,Voorstraat,Lelystad
9,8226ER,Voorstraat,Lelystad
11,8226ER,Voorstraat,Lelystad
13,8226ER,Voorstraat,Lelystad
23,8226EA,Biesbosstraat,Lelystad
1,8226DH,Vloedstraat,Lelystad
3,8226DH,Vloedstraat,Lelystad
15,8226DD,Getijdenlaan,Lelystad
21,8226DD,Getijdenlaan,Lelystad
25,8226DD,Getijdenlaan,Lelystad
29,8226DD,Getijdenlaan,Lelystad
12,8226DD,Getijdenlaan,Lelystad
16,8226DD,Getijdenlaan,Lelystad
14,8226DB,Ebstraat,Lelystad
16,8226DB,Ebstraat,Lelystad
20,8226DB,Ebstraat,Lelystad
22,8226DB,Ebstraat,Lelystad
2,8226DD,Getijdenlaan,Lelystad
6,8226DD,Getijdenlaan,Lelystad
38,8242BC,Kempenaar 02,Lelystad
7,8242BE,Kempenaar 04,Lelystad
90,8226EP,Haringvlietlaan,Lelystad
66,8226EP,Haringvlietlaan,Lelystad
68,8226EP,Haringvlietlaan,Lelystad
70,8226EP,Haringvlietlaan,Lelystad
74,8226EP,Haringvlietlaan,Lelystad
76,8226EP,Haringvlietlaan,Lelystad
78,8226EP,Haringvlietlaan,Lelystad
82,8226EP,Haringvlietlaan,Lelystad
84,8226EP,Haringvlietlaan,Lelystad
88,8226EP,Haringvlietlaan,Lelystad
60,8226EP,Haringvlietlaan,Lelystad
62,8226EP,Haringvlietlaan,Lelystad
71,8226EN,Haringvlietlaan,Lelystad
69,8226EN,Haringvlietlaan,Lelystad
63,8226EN,Haringvlietlaan,Lelystad
59,8226EN,Haringvlietlaan,Lelystad
55,8226EN,Haringvlietlaan,Lelystad
56,8226EP,Haringvlietlaan,Lelystad
79,8226EN,Haringvlietlaan,Lelystad
77,8226EN,Haringvlietlaan,Lelystad
75,8226EN,Haringvlietlaan,Lelystad
7,8225NK,Horst 30,Lelystad
97,8226EN,Haringvlietlaan,Lelystad
95,8226EN,Haringvlietlaan,Lelystad
91,8226EN,Haringvlietlaan,Lelystad
89,8226EN,Haringvlietlaan,Lelystad
87,8226EN,Haringvlietlaan,Lelystad
83,8226EN,Haringvlietlaan,Lelystad
81,8226EN,Haringvlietlaan,Lelystad
76,8226EJ,Hollands Diepstraat,Lelystad
80,8226EJ,Hollands Diepstraat,Lelystad
13,8225NK,Horst 30,Lelystad
84,8226EJ,Hollands Diepstraat,Lelystad
60,8226EJ,Hollands Diepstraat,Lelystad
