14,9727DB,Fivelgolaan,Groningen
18,9727DB,Fivelgolaan,Groningen
11,9745DN,Jakob Israël de Haanstraat,Groningen
44,9734CL,Damsterwaard,Groningen
175,9734CX,De Waard,Groningen
28,9725CL,Aduarderstraat,Groningen
51,9727DC,Humsterlandlaan,Groningen
84,9734CN,Damsterwaard,Groningen
4,9745DK,Jakob Israël de Haanstraat,Groningen
104,9734CJ,Ruischerwaard,Groningen
2,9745DK,Jakob Israël de Haanstraat,Groningen
71,9734CN,Damsterwaard,Groningen
83,9723DC,Barkmolenstraat,Groningen
35,9734CL,Damsterwaard,Groningen
256,9731HA,Speenkruidstraat,Groningen
14,9734BS,Mooiland,Groningen
71,9723DB,Barkmolenstraat,Groningen
2,9731HK,Kalmoesstraat,Groningen
117,9734CW,De Waard,Groningen
7,9731HK,Kalmoesstraat,Groningen
54,9734CM,Damsterwaard,Groningen
49,9734CV,De Waard,Groningen
254,9731HA,Speenkruidstraat,Groningen
28,9745DK,Jakob Israël de Haanstraat,Groningen
39,9746AE,James Baldwinstraat,Groningen
43,9727DC,Humsterlandlaan,Groningen
1,9734CV,De Waard,Groningen
12,9734BS,Mooiland,Groningen
104,9713GW,Hanzeplein,Groningen
6,9727DB,Fivelgolaan,Groningen
250,9731HA,Speenkruidstraat,Groningen
31,9727DC,Humsterlandlaan,Groningen
1,9723DA,Barkmolenstraat,Groningen
38,9734CR,De Waard,Groningen
36,9734CL,Damsterwaard,Groningen
100,9734CJ,Ruischerwaard,Groningen
35,9745DN,Jakob Israël de Haanstraat,Groningen
87,9734CN,Damsterwaard,Groningen
11,9734CD,Ruischerwaard,Groningen
12,9731HK,Kalmoesstraat,Groningen
15,9745DN,Jakob Israël de Haanstraat,Groningen
119,9734CW,De Waard,Groningen
19,9727DC,Humsterlandlaan,Groningen
96,9713GW,Hanzeplein,Groningen
7,9734CK,Damsterwaard,Groningen
77,9723DB,Barkmolenstraat,Groningen
237,9723DG,Barkmolenstraat,Groningen
42,9746AL,Jacob van Hattumstraat,Groningen
147,9734CX,De Waard,Groningen
115,9734CW,De Waard,Groningen
3,9734CV,De Waard,Groningen
17,9734CD,Ruischerwaard,Groningen
