7061ZP,61,,Borgsche Rieten,Terborg
7061ZP,75,,Borgsche Rieten,Terborg
7061GG,31,,Varsseveldseweg,Terborg
7051BH,16,,Louise de Colignystraat,Varsseveld
7061AZ,40,,Vulcaanstraat,Terborg
7065AX,8,,Kasteelweg,Sinderen
7051WP,31,,Eksterhof,Varsseveld
7065AV,6,,Klein Saleminkdijk,Sinderen
7051WP,41,,Eksterhof,Varsseveld
7061BE,2,,Handelstraat,Terborg
7064HB,6,,Doctor Dreesstraat,Silvolde
7064HA,31,,Doctor Dreesstraat,Silvolde
7064KN,8,,Geurinkstraat,Silvolde
7051CE,9,,Burgemeester Karstenstraat,Varsseveld
7064EX,22,,Prinses Christinastraat,Silvolde
7064BM,43,,Roomberg,Silvolde
7064BC,93,,Ulftseweg,Silvolde
7064HA,13,,Doctor Dreesstraat,Silvolde
7064GZ,30,,Melkweg,Silvolde
7061BA,31,,Nijverheidstraat,Terborg
7051AS,32,,Koningin Wilhelminalaan,Varsseveld
7051DL,74,,Dames Jolinkweg,Varsseveld
7064LK,44,,Bontebrug,Silvolde
7061WK,2,,Oranjehof,Terborg
7061AN,65,,Industrieweg,Terborg
7051XS,23,,Lijsterstraat,Varsseveld
7064GC,15,,Prins Bernhardstraat,Silvolde
7061DK,21,,Silvoldseweg,Terborg
7051AC,14,,Doetinchemseweg,Varsseveld
7064GR,18,,Siebelinkstraat,Silvolde
7061BE,15,,Handelstraat,Terborg
7051ZJ,6,,Korenbloemstraat,Varsseveld
7064GC,21,,Prins Bernhardstraat,Silvolde
7051ZS,9,,Karel Doormanstraat,Varsseveld
7064HA,11,,Doctor Dreesstraat,Silvolde
7061BN,11,,van Nagellstraat,Terborg
7064GB,16,,Koningin Julianastraat,Silvolde
7064KW,65,,Oude Dinxperloseweg,Silvolde
7061XZ,8,,Staringstraat,Terborg
7064GX,42,,Doctor Schaepmanstraat,Silvolde
7064GW,53,,Doctor Schaepmanstraat,Silvolde
7051GN,14,,Lichtenvoordseweg,Varsseveld
7061CP,7,,Doetinchemseweg,Terborg
7061CP,5,,Doetinchemseweg,Terborg
7061AS,30,,Industrieweg,Terborg
7061DL,33,,Silvoldseweg,Terborg
7064AB,43,,Terborgseweg,Silvolde
7061CT,3,,Stationsweg,Terborg
7061DG,16,,De Laegte,Terborg
7051DG,25,,Dames Jolinkweg,Varsseveld
7064GX,8,,Doctor Schaepmanstraat,Silvolde
7054AX,13,,Veldkamperstraat,Westendorp
7054CM,18,,Perebolterweg,Westendorp
7051BA,5,,Prins Alexanderstraat,Varsseveld
7061XZ,22,,Staringstraat,Terborg
7061AA,25,,Ettensestraat,Terborg
7061DC,11,,'t Veld,Terborg
7061DC,9,,'t Veld,Terborg
7064LM,94,,Bontebrug,Silvolde
7061DH,15,,Overtuin,Terborg
7061AM,55,,Industrieweg,Terborg
